bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag
9310630,SHREE KRISHNA DIESELS Under PMA,L1,157500.0,` 157500.00,
9310630,SHREE ROZI MARINE ENGINEERING WORKS Under PMA,L2,159000.0,` 159000.00,
9310610,SHRI BANKE BHIHARI TRADERS (MII) Under PMA,L1,2663078.0,` 2663078.00,
9310610,CENTUARY AUTOMOBILES (MII) Under PMA,L2,2687210.0,` 2687210.00,
9310610,"NEW AUTO KING (MSE,MII) Under PMA",L3,2730456.0,` 2730456.00,
9241693,ALBERTSONS INTERNATIONAL PRIVATE LIMITED Under PMA,,,,N/A
9241693,CHANDRA ENTERPRISES. Under PMA,,,,N/A
9241693,KUSTERS ENGINEERING INDIA PRIVATE LIMITED Under PMA,,,,MSE
9241693,METHODEX SYSTEMS PRIVATE LIMITED Under PMA,,,,N/A
9241443,A and B Solutions Under PMA,,,,N/A
9241443,AKSHIN INDUSTRIES PRIVATE LIMITED Under PMA,,,,N/A
9241443,Keltkart Under PMA,,,,N/A
9241443,LEPAKSHI ENTERPRISES Under PMA,,,,N/A
9241443,NV SERVICES Under PMA,,,,N/A
9241443,R S VENTURE Under PMA,,,,N/A
9241443,RYNHB PERIPHERALS Under PMA,,,,N/A
9241443,SHEORAN ENTERPRISES Under PMA,,,,N/A
9241443,Shri Radhika Enterprises Under PMA,,,,N/A
9241443,SSP ENTERPRISES Under PMA,,,,N/A
9237579,BHARTIYA SAHKARITA SANSTHA MARYADIT Under PMA,,,,MSE
9237579,ESS KAY HOME CARE Under PMA,,,,MSE
9237579,GM PROCUREMENT SOLUTIONS Under PMA,,,,MSE
9237579,KARTIKEY ENTERPRISES Under PMA,,,,N/A
9237579,KMNP FACILITY SOLUTIONS PRIVATE LIMITED Under PMA,,,,N/A
9237579,M/S MAKMONI ENTERPRISES Under PMA,,,,MSE
9237579,NOVASTAR ENERGY CONSULTANTS PRIVATE LIMITED Under PMA,,,,MSE
9237579,ProGeM Solutions Under PMA,,,,N/A
9237579,STAYSAFE SOLUTIONS PRIVATE LIMITED Under PMA,,,,MSE
9237579,VIKHYAT TECHNOLOGIES PRIVATE LIMITED Under PMA,,,,MSE
9237519,BHARTIYA SAHKARITA SANSTHA MARYADIT Under PMA,,,,MSE
9237519,ESS KAY HOME CARE Under PMA,,,,MSE
9237519,GM PROCUREMENT SOLUTIONS Under PMA,,,,MSE
9237519,KARTIKEY ENTERPRISES Under PMA,,,,N/A
9237519,KMNP FACILITY SOLUTIONS PRIVATE LIMITED Under PMA,,,,MSE
9237519,M/S MAKMONI ENTERPRISES Under PMA,,,,MSE
9237519,NOVASTAR ENERGY CONSULTANTS PRIVATE LIMITED Under PMA,,,,MSE
9237519,ProGeM Solutions Under PMA,,,,N/A
9237519,STAYSAFE SOLUTIONS PRIVATE LIMITED Under PMA,,,,MSE
9237519,VIKHYAT TECHNOLOGIES PRIVATE LIMITED Under PMA,,,,MSE
9294406,Santosh Singh Parihar Under PMA,,,,MSE
9258386,HEERA NUTRITECH PRIVATE LIMITED Under PMA,,,,MSE
9258386,MANIK VALECHA Under PMA,,,,MSE
9258386,PAMMY SALES Under PMA,,,,MSE
9258386,SADORIDEVI AND COMPANY Under PMA,,,,MSE
9255044,GUARDWEL INDUSTRIES PRIVATE LIMITED Under PMA,,,,MII
9255044,METHODEX SYSTEMS PRIVATE LIMITED Under PMA,,,,MII
9255044,SHARMA FURNITURE DEALERS Under PMA,,,,MII
9255044,V. J. ENTERPRISES Under PMA,,,,MII
9310438,APEX DYNAMICS Under PMA,L1,6065551.0,` 6065551.00,
9310438,SWETA ENTERPRISES Under PMA,L2,6080538.3,` 6080538.30,
9310438,ASHOKA ENTERPRISES Under PMA,L3,6349430.0,` 6349430.00,
9274873,Gopal Traders Under PMA,,,,N/A
9274873,M/S SUKHMANI TRADING COMPANY Under PMA,,,,N/A
9274873,Vishal Trading Company Under PMA,,,,N/A
9280070,FARID ENTERPRISES Under PMA,,,,MII MSE
9280070,MANDEEP SINGH & ASSOCIATES Under PMA,,,,MII MSE
9280070,SHRI RAM SECURITY SERVICES Under PMA,,,,MII MSE
9279984,abhinandan enterprises Under PMA,,,,MII MSE
9279984,ANSH TRADERS Under PMA,,,,MII MSE
9279984,PARAS CONTRACTOR & SUPPLIERS Under PMA,,,,MII MSE
9280588,ANAND BROS Under PMA,,,,MSE
9280588,GLOBAL TRADING COMPANY Under PMA,,,,MSE
9280588,MODERNSALESCORPORATION Under PMA,,,,MSE
9280501,RITWIK ENTERPRISES Under PMA,,,,MSE
9280501,UNITED MOTOR STORE Under PMA,,,,MSE
9280501,yp enterprises Under PMA,,,,MSE
9280458,HANNA EQUIPMENTS (INDIA) PRIVATE LIMITED Under PMA,,,,N/A
9280458,INDIRA GANDHI MAHILA MANDAL Under PMA,,,,MSE
