bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag,vendor_name_clean,is_disqualified
9323261,GOLDEN TRIANGLE SECURITY SERVICE PRIVATE LIMITED Under PMA,,0.0,,MSE,GOLDEN TRIANGLE SECURITY SERVICE,False
9323261,Growing Manpower Service Under PMA,,0.0,,MSE,GROWING MANPOWER SERVICE,False
9323261,GUNJAN GLOBAL INFRAVENTURE Under PMA,,0.0,,MSE,GUNJAN GLOBAL INFRAVENTURE,False
9323261,GUPTA ENTERPRISES Under PMA,,0.0,,MSE,GUPTA ENTERPRISES,False
9323261,GURU NANAK SECURITY Under PMA,,0.0,,MSE,GURU NANAK SECURITY,False
9323261,HELIS CONSULTING PRIVATE LIMITED Under PMA,,0.0,,MSE,HELIS CONSULTING,False
9323261,Helis Technologies Under PMA,,0.0,,MSE,HELIS TECHNOLOGIES,False
9323261,INSF INDIA PRIVATE LIMITED Under PMA,,0.0,,,INSF INDIA,False
9323261,INTELLISMART ENERGY SOLUTIONS Under PMA,,0.0,,MSE,INTELLISMART ENERGY SOLUTIONS,False
9323261,IRON WOLF SECURITY LLP Under PMA,,0.0,,MSE,IRON WOLF SECURITY LLP,False
9323261,ISHITA SECURITY AND MANPOWER SERVICE PRIVATE LIMITED Under PMA,,0.0,,MSE,ISHITA SECURITY AND MANPOWER SERVICE,False
9323261,J B SECURITY SERVICE Under PMA,,0.0,,MSE,J B SECURITY SERVICE,False
9323261,J B TRADING CO Under PMA,,0.0,,MSE,J B TRADING CO,False
9323261,J K ENTERPRISES Under PMA,,0.0,,MSE,J K ENTERPRISES,False
9323261,J N ENTERPRISES Under PMA,,0.0,,MSE,J N ENTERPRISES,False
9323261,J SHARP PRIVATE LIMITED Under PMA,,0.0,,MSE,J SHARP,False
9323261,J.S Enterprises Under PMA,,0.0,,MSE,J.S ENTERPRISES,False
9323261,JAGADVYAPI FACILITIES PRIVATE LIMITED Under PMA,,0.0,,MSE,JAGADVYAPI FACILITIES,False
9323261,JAI BHOLENATH SERVICES Under PMA,,0.0,,MSE,JAI BHOLENATH SERVICES,False
9323261,JAI DURGA SHAKTI SERVICES Under PMA,,0.0,,MSE,JAI DURGA SHAKTI SERVICES,False
9323261,JAI JAWALAJI SECURITY AND MANPOWER SERVICES PRIVATE LIMITED Under PMA,,0.0,,,JAI JAWALAJI SECURITY AND MANPOWER SERVICES,False
9323261,JAIN CORPORATION Under PMA,,0.0,,MSE,JAIN,False
9323261,JIVANSH HANS PRIVATE LIMITED Under PMA,,0.0,,MSE,JIVANSH HANS,False
9323261,JKM TOTAL SECURITY (OPC) PRIVATE LIMITED Under PMA,,0.0,,MSE,JKM TOTAL SECURITY (OPC,False
9323261,JSR ENTERPRISES Under PMA,,0.0,,MSE,JSR ENTERPRISES,False
