bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag
9294446,M/S KAPOOR ELECTRICALS Under PMA,,,,N/A
9294446,SHIV SHAKTI TECHNO ENTERPRISES Under PMA,,,,MSE
9294446,SHRI GANESH ENTERPRISES Under PMA,,,,N/A
9294290,3056 MANOJ KUMAR SECURITY AGENCY Under PMA,,,,Registered with designated Agency / Authority
9294290,4050 RAVI RAJ SINGH SECURITY AGENCY Under PMA,,,,Registered with designated Agency / Authority
9294290,4BROTHERS Under PMA,,,,Central / State PSUs
9294290,A B S S SECURITAS PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9294290,AADHAR SECURITY SOLUTIONS PRIVATE LIMITED Under PMA,,,,MSE
9294290,AARAV ENTERPRISES Under PMA,,,,MSE
9294290,AASTHA TECHNOLOGY SERVICES Under PMA,,,,MSE
9294290,ACTIVE SECURITY SERVICES Under PMA,,,,Registered with designated Agency / Authority
9294290,ADEPT Under PMA,,,,MSE
9294290,ADVANCE CORPORATE SECURITY Under PMA,,,,Registered with designated Agency / Authority
9294290,ADVT INDUSTRIES PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9294290,AGILEBLISS SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9294290,AJ INDUSTRIAL SERVICES Under PMA,,,,Registered with designated Agency / Authority
9294290,ALERTS SECURITAS PRIVATE LIMITED Under PMA,,,,MSE
9294290,ALLIANCE OUTSOURCING PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9294290,almighty manpower & security services Under PMA,,,,Registered with designated Agency / Authority
9294290,Alpha Manpower Services Under PMA,,,,Registered with designated Agency / Authority
9294290,ALPHA MANPOWER SERVICES PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9294290,AM ENTERPRISES Under PMA,,,,MSE
9294290,AMAN SECURITY & DETECTIVES Under PMA,,,,MSE
9294290,ANGEL MANPOWER & SECURITY SERVICES Under PMA,,,,Registered with designated Agency / Authority
9294290,AON TECHNOLOGY SERVICES Under PMA,,,,Registered with designated Agency / Authority
9294290,APEX ENTERPRISES Under PMA,,,,MSE
9294290,ARIHANT OUTSOURCING SOLUTIONS Under PMA,,,,MSE
9294290,AROUND THE WORLD SECURITY SERVICES Under PMA,,,,Registered with designated Agency / Authority
9294290,ARYAN BIZZ PRIVATE LIMITED Under PMA,,,,MSE
9294290,ARYAN ENTERPRISES Under PMA,,,,MSE
9294290,AS Infratech Under PMA,,,,MSE
9294290,ASHFORD STAFFING (OPC) PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9294290,ASJ MULTI SERVICES PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9294290,AWADH SECURITY SERVICES PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9294290,BABLI SECURITY SERVICES PRIVATE LIMITED Under PMA,,,,Start-up
9294290,BD SECURITY Under PMA,,,,Registered with designated Agency / Authority
9294290,BEST FACILITY SERVICES Under PMA,,,,MSE
9294290,BEST INDIA SOLUTION Under PMA,,,,MSE
9294290,BHAGWATI MANPOWER SERVICES Under PMA,,,,MSE
9294290,BLAXE SECURITY MANPOWER SOLUTIONS Under PMA,,,,Registered with designated Agency / Authority
9294290,BLUE SKY MANPOWER SERVICES Under PMA,,,,Registered with designated Agency / Authority
9294290,BRIGHT HEAVEN Under PMA,,,,MSE
9294290,Brothers associates Under PMA,,,,Registered with designated Agency / Authority
