bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag
9291682,AADHYA TRADING COMPANY Under PMA,,,,Registered with designated Agency / Authority
9291682,KAUSHALYA ENTERPRISES Under PMA,,,,Offline upload
9291682,M/S DEV INDUSTRIES Under PMA,,,,Offline upload
9291682,M/S SUPRIYA TRADING COMPANY Under PMA,,,,BIS License
9291682,SAURABH AGRO CHEMICALS Under PMA,,,,BIS License
9291682,TOTAL WASTE SOLUTIONS Under PMA,,,,Offline upload
9287003,G. H. ENTERPRISES Under PMA,,,,Offline upload
9287003,M/S SHUBHAM CONSTRUCTION COMPANY Under PMA,,,,Offline upload
9287003,M/S VANDANA ENTERPRISES Under PMA,,,,Offline upload
9286972,G. H. ENTERPRISES Under PMA,,,,Offline upload
9286972,M/S SHUBHAM CONSTRUCTION COMPANY Under PMA,,,,Offline upload
9286972,M/S VANDANA ENTERPRISES Under PMA,,,,Offline upload
9286887,G. H. ENTERPRISES Under PMA,,,,Offline upload
9286887,M/S SHUBHAM CONSTRUCTION COMPANY Under PMA,,,,Offline upload
9286887,M/S VANDANA ENTERPRISES Under PMA,,,,Offline upload
9286864,ADVIK ENERGY SOLUTION PRIVATE LIMITED Under PMA,,,,Offline upload
9286864,H R ENTERPRISES Under PMA,,,,Offline upload
9286864,OFFICE SOLUTION INC Under PMA,,,,Offline upload
9286859,ELECTRO NET SYSTEMS Under PMA,,,,MSE
9286859,LARA MAINTENANCE AND CONSTRUCTION Under PMA,,,,N/A
9286859,M/S SHRI KRISHNA ENTERPRISES Under PMA,,,,N/A
9286859,S D CONTRACTOR Under PMA,,,,N/A
9286859,S.R.ELECTRICALS COMPANY & CONTRACTORS Under PMA,,,,N/A
9271868,M/S ARVINDRA SINGH THEKEDAR Under PMA,,,,N/A
9271868,SHREYA TRADING COMPANY Under PMA,,,,N/A
9271868,SURAJ ENTERPRISES Under PMA,,,,N/A
9326765,"AD ENTERPRISES (MSE,MII) Under PMA",L1,694477.0,` 694477.00,
9326765,"DRF INNOVATION INDIA PRIVATE LIMITED (MSE,MII) Under PMA",L2,695173.0,` 695173.00 (Bid Price),
9246271,RADHEY RADHEY ENTERPRISES Under PMA,,,,MSE
9246271,ROYAL BIOTECH Under PMA,,,,MSE
9277412,M.V.K Engineering Services Under PMA,,,,N/A
9277412,NEW JWALLA SECURITY FORCE Under PMA,,,,MSE
9277412,NISHA TELECOM SERVICES Under PMA,,,,N/A
9277412,SHRINIDHI ENTERPRISES Under PMA,,,,MSE
9277208,ABM TRAVELS AND TOURS PRIVATE LIMITED Under PMA,,,,N/A
9277208,HOTEL RUKMANI PALACE Under PMA,,,,N/A
9277208,MAA SARADA AGENCY Under PMA,,,,MSE
9277208,NILJYOTI TRAVEL AGENCY / MS NILJYOTI Under PMA,,,,N/A
9277208,Skyways Tours & Travels Under PMA,,,,N/A
9277208,Star Stay Hospitality Under PMA,,,,MSE
9278614,AMAZECRAFT CREATION PRIVATE LIMITED Under PMA,,,,MSE
9278614,CHAND STEEL Under PMA,,,,MSE
9278614,HANS FURNITURE STUDIO PRIVATE LIMITED Under PMA,,,,MSE
9278614,LEY LINE ENTERPRISE Under PMA,,,,N/A
