id,bid_number,parent_bid,ra_or_bid,category,full_category,quantity,item_count,status,is_custom,is_high_value,is_boq,start_date,end_date,ministry,department,buyer_id,category_id
9283605,GEM/2026/B/7498688,,Bid,"AIR DRYER WITH UNLOADER VALVE,COVER ASSY CLUTCH,CLUTCH RELEASE BEARING,FIELD COIL ASSY,CLUTCH MASTE","AIR DRYER WITH UNLOADER VALVE,COVER ASSY CLUTCH,CLUTCH RELEASE BEARING,FIELD COIL ASSY,CLUTCH MASTER CYL,SLAVE CYL,DUAL BRAKE VALVE,POLY V BELT,SYSTEM PROCTECTION VALVE,ISOLATOR SWITCH",43,10,2,0,False,True,2026-05-04T11:26:56Z,2026-05-14T12:00:00Z,Ministry of Defence,Department of Military Affairs,TSSOffice3,home_boq_boql_boql_boq
9283523,GEM/2026/B/7498620,,Bid,"Rubber Diaphragms,Rubber Diaphragms","Rubber Diaphragms,Rubber Diaphragms",130,2,2,0,False,False,2026-05-04T11:19:09Z,2026-05-14T12:00:00Z,,Ports and Transport Department Gujarat,DCJNDSTGEM,home_powe_powe_engi_rubb
9283521,GEM/2026/B/7498618,,Bid,"OFFR DRG 10 VACUUM BOOSTER,UNIVERSAL JOINT ASSY,CROSS ASSY,HAND BRAKE CABLE,BALL JOINT UPPER,BALL J","OFFR DRG 10 VACUUM BOOSTER,UNIVERSAL JOINT ASSY,CROSS ASSY,HAND BRAKE CABLE,BALL JOINT UPPER,BALL JOINT LOWER,SHOCKER WITH COIL LEFT,SHOCKER WITH COIL RIGHT,FRONT BRAKE PAD,FAN BELT,OIL FILTER ASSY,CONDENSOR FAN BELT,SWITCH DOOR GLASS",44,13,2,0,False,True,2026-05-04T11:13:01Z,2026-05-14T12:00:00Z,Ministry of Defence,Department of Military Affairs,TSSOffice3,home_boq_boql_boql_boq
9283517,GEM/2026/B/7498615,,Bid,"SPROCKET COMP CAM CHAIN GUIDE 25 T,TANK COOLANT VEHICULAR,ASSY CABLE COMPLETE,SPRING BRAKE ACTUATOR","SPROCKET COMP CAM CHAIN GUIDE 25 T,TANK COOLANT VEHICULAR,ASSY CABLE COMPLETE,SPRING BRAKE ACTUATOR W ADOPTOR TYPE,REAR VIEW MIRROR,BOLT BRKT MTG,WIPER BLADE,OIL FILTER,PIPE FUEL PUMP TO FILTER,COVER ASSY,HOLD RELAY,GLASS FILM",18,12,2,0,False,True,2026-05-04T11:18:51Z,2026-05-14T12:00:00Z,Ministry of Defence,Department of Military Affairs,buyer_318,home_boq_boql_boql_boq
9283480,GEM/2026/B/7498585,,Bid,"Mirror with Freming,Screwdriver,Split AC,Wooden Cabinet,Climping Tool","Mirror with Freming,Screwdriver,Split AC,Wooden Cabinet,Climping Tool",5,5,2,0,False,True,2026-05-04T11:18:43Z,2026-05-14T12:00:00Z,Ministry of Defence,Department of Military Affairs,con6.aro.varanasi,home_boq_boql_boql_boq
9283074,GEM/2026/B/7498270,,Bid,RO Plant with Genset and Trolley,RO Plant with Genset and Trolley,1,1,2,0,False,False,2026-05-04T09:50:04Z,2026-05-14T12:00:00Z,,Rural Development Department Bihar,BUYER-PHENARASAMITI,home_dist_indu_puri_ropl
9283043,GEM/2026/B/7498245,,Bid,RO Plant with Genset and Trolley,RO Plant with Genset and Trolley,1,1,2,0,False,False,2026-05-04T09:40:54Z,2026-05-14T12:00:00Z,,Rural Development Department Bihar,BUYER-PHENARASAMITI,home_dist_indu_puri_ropl
9282993,GEM/2026/B/7498213,,Bid,RO Plant with Genset and Trolley,RO Plant with Genset and Trolley,1,1,2,0,False,False,2026-05-04T09:25:53Z,2026-05-14T12:00:00Z,,Rural Development Department Bihar,BUYER-PHENARASAMITI,home_dist_indu_puri_ropl
9282788,GEM/2026/B/7498044,,Bid,IP Telephone,IP Telephone,2,1,2,1,False,False,2026-05-03T19:14:55Z,2026-05-14T12:00:00Z,Ministry of Defence,Department of Military Affairs,buycon2557@,home_univ_univ_univ_univ
9282436,GEM/2026/B/7497721,,Bid,LED Luminaire for High Bay Lighting,LED Luminaire for High Bay Lighting,160,1,2,0,False,False,2026-05-03T11:11:25Z,2026-05-14T12:00:00Z,,Department of Panchayati Raj,PR-LAMANTANDA-FFC-V8-MGR,home_el05420327_ligh_inte_ledl
