bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag
9283810,DUBARIA COMPUTERS PRIVATE LIMITED Under PMA,,,,MSE
9283810,NirBhumi Trading Co. Under PMA,,,,MSE
9283810,SATLUJ COMPUTERS Under PMA,,,,MSE
9283810,Ujjawal Sales Corporation Under PMA,,,,MSE
9303658,C I NETWORK TECHNOLOGIES PRIVATE LIMITED Under PMA,,,,MSE
9303658,ELEVATE SOLUTIONS Under PMA,,,,MII
9303658,Newgen Traders Under PMA,,,,MII
9303658,ONTIME OFFICE SOLUTIONS Under PMA,,,,MII
9303658,RELIANCE ELECTRONICS Under PMA,,,,MSE
9265862,FLYWORLD COM Under PMA,,,,MSE
9265862,M D TRAVELS & ENTERPRISE Under PMA,,,,MSE
9265862,M/S KALYAN TOURS AND TRAVELS Under PMA,,,,MSE
9265862,P P TRAVELS & ADVERTISERS Under PMA,,,,MSE
9284396,ATHARVA TECH MINDS PRIVATE LIMITED Under PMA,,,,MSE
9284396,BANDHU4U SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9284396,DIGITECH ELECTRONIC SYSTEMS PRIVATE LIMITED Under PMA,,,,MSE
9284396,E-SOLUTION Under PMA,,,,N/A
9284396,Emerging Solutions Under PMA,,,,MSE
9284396,GLOBX SYSTEM AND NETWORK PRIVATE LIMITED Under PMA,,,,N/A
9284396,KACIOUS SYSTEMS PRIVATE LIMITED Under PMA,,,,MSE
9284396,ODYSSEY COMPUTECH AND SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9284396,Planet Computer Under PMA,,,,MSE
9284396,SHRING CONSULTING PRIVATE LIMITED Under PMA,,,,MSE
9284396,SUN INFOWAY Under PMA,,,,MSE
9284396,UNITE ENTREPRENEUR Under PMA,,,,N/A
9284396,UNNAT EXPORTS (OPC) PRIVATE LIMITED Under PMA,,,,N/A
9284396,USAM TECHNOLOGY SOLUTIONS PRIVATE LIMITED Under PMA,,,,N/A
9284247,AMDAVADI CAB SERVICES Under PMA,,,,MSE
9284247,CHAMUNDA TOORS AND TRAVELS Under PMA,,,,N/A
9284247,DHARMENDRASINH MERUBHA PARMAR Under PMA,,,,N/A
9284247,EAGLE INFOTECH Under PMA,,,,MSE
9284247,H & M Enterprise Under PMA,,,,MSE
9284247,Inaya Enterprises Under PMA,,,,N/A
9284247,KD TRAVELS Under PMA,,,,MSE
9284247,KHUSHI ENTERPRISE Under PMA,,,,MSE
9284247,LAKSHYA SOLUTION Under PMA,,,,N/A
9284247,mahir travel agenc Under PMA,,,,MSE
9284247,Oasis Corporation Under PMA,,,,MSE
9284247,PATHAK CONSTRUCTION COMPANY Under PMA,,,,MSE
9284247,PRAVIN TOURS AND TRAVELS Under PMA,,,,N/A
9284247,PRAVIN TOURS AND TRAVELS Under PMA,,,,MSE
9284247,Radheshyamservices Under PMA,,,,N/A
9284247,SKUMAR ENTERPRISE Under PMA,,,,MSE
9284247,SRD TOURS AND TRAVELS Under PMA,,,,N/A
9284247,The Music Studio Under PMA,,,,N/A
9284142,Baba Traders & co Under PMA,,,,MSE
9284142,BCS Under PMA,,,,MSE
9284142,BMRC Under PMA,,,,Registered with designated Agency / Authority
