bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag
9343359,"XCEL Enterprises (MSE,MII) Under PMA",L1,4717570.0,` 4717570.00,
9343359,M/s Xtreme Auto (MII) Under PMA,L2,5376880.0,` 5376880.00,
9343359,"M/S. JAI BHARAT ENTERPRISES (MSE,MII) Under PMA",L3,6024180.0,` 6024180.00 (Bid Price),
9343359,"M.K.TRADING CORPORATION (MSE,MII) Under PMA",L4,6186680.0,` 6186680.00 (Bid Price),
9343148,"ANUKAMPA ENTERPRISES (MSE,MII) Under PMA",L1,705650.0,` 705650.00,
9343148,"NAVODIT ARCHITECTURE AND INTERIOR DESIGN CONSULTANCY (MSE,MII) Under PMA",L2,738600.0,` 738600.00,
9343148,"M/S NARAIN ENTERPRISES (MSE,MII) Under PMA",L3,853960.0,` 853960.00 (Bid Price),
9342915,NARAIN TRADERS (MSE) Under PMA,L1,59220.0,` 59220.00,
9342915,D S AND COMPANY (MSE) Under PMA,L2,59745.0,` 59745.00,
9342915,S.R.P ENTERPRISES (MSE) Under PMA,L3,64890.0,` 64890.00 (Bid Price),
9342877,DEEPAK ENTERPRISES (MII) Under PMA,L1,4982054.0,` 4982054.00,
9342877,Gee Kay Traders (MII) Under PMA,L2,4997970.0,` 4997970.00 (Bid Price),
9342877,ROCKY TRADERS (MII) Under PMA,L3,4999700.0,` 4999700.00 (Bid Price),
9342850,Zenefy Technologies Under PMA,L1,349800.0,` 349800.00,
9342850,I D Technocom Under PMA,L2,352000.0,` 352000.00,
9342803,MARQUIS INNOVATION Under PMA,L1,47055.0,` 47055.00,
9342803,Preferred Seven Technologies Under PMA,L2,47107.0,` 47107.00 (Bid Price),
9342803,SHRI MAA BAGULAMUKHI DEVI DEVCON PRIVATE LIMITED Under PMA,L3,52136.0,` 52136.00 (Bid Price),
9342572,COMPUTER CARE Under PMA,L1,392632.75,` 392632.75,
9342572,Aanchal Sales Under PMA,L2,442280.0,` 442280.00 (Bid Price),
9337995,"ZAREEN FOODS PRIVATE LIMITED (MSE,MII) Under PMA",L1,426972.0,` 426972.00,
9337995,AOV AGRO FOODS PRIVATE LIMITED (MII) Under PMA,L2,434826.0,` 434826.00,
9337995,"CURRYMIA FOODS LIMITED (MSE,MII) Under PMA",L3,442680.0,` 442680.00 (Bid Price),
9327407,Insight Saket Enterprises Under PMA,,,,N/A
9327407,LEPAKSHI ENTERPRISES Under PMA,,,,N/A
9327407,M/S WESTERN AGENCIES Under PMA,,,,N/A
9327407,SUM ENTERPRISES Under PMA,,,,N/A
9327407,XYSTER SERVICES PRIVATE LIMITED Under PMA,,,,N/A
9327187,ESS KAY HOME CARE Under PMA,,,,N/A
9327187,Insight Saket Enterprises Under PMA,,,,N/A
9327187,LEPAKSHI ENTERPRISES Under PMA,,,,N/A
9327187,M/S DAILYVER IN Under PMA,,,,N/A
9327187,M/S WESTERN AGENCIES Under PMA,,,,N/A
9327187,Sri Amman Enterprises Under PMA,,,,N/A
9327187,SUM ENTERPRISES Under PMA,,,,N/A
9342433,MOY INTERNATIONAL Under PMA,L1,278950.9,` 278950.90,
9342433,RAJVEER & BROTHERS Under PMA,L2,293698.5,` 293698.50,
9342433,SKYNET INTERNATIONAL Under PMA,L3,300088.4,` 300088.40 (Bid Price),
9310360,DEEP ENTERPRISES Under PMA,,,,MSE
9310360,NATIONAL ENTERPRISES Under PMA,,,,MSE
9310360,Shri Ganesh Enterprises Under PMA,,,,MSE
9310337,RAJDHANI TRADERS Under PMA,,,,MSE
9310337,RISHAB AUTOMOBILES Under PMA,,,,MSE
9310337,ROYAL ENTERPRISES Under PMA,,,,MSE
9310308,CHAUDHARY AUTO TRADERS Under PMA,,,,MSE
9310308,HI-TECH TRADERS Under PMA,,,,MSE
9310308,QUALITY TRADERS Under PMA,,,,MSE
9341747,AGNI INDUSTRY Under PMA,,,,MSE
9341747,AGNISATHI INDUSTRIAL FIRE AND SAFETY PRIVATE LIMITED Under PMA,,,,N/A
9341747,DETECT FIRE SAFETY EQUIPMENTS Under PMA,,,,MSE
9341747,FITECH ENGINEERS PVT LTD Under PMA,,,,MSE
9341747,NADIA SAFETY FIRST Under PMA,,,,N/A
9341747,WB ROCKSTAR FIRE SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9341745,HOTEL RUKMANI PALACE Under PMA,,,,N/A
9341745,JAI SHRI KEDARNATH Under PMA,,,,MSE
9341745,JYOTI ELECTRICAL COMPANY Under PMA,,,,MSE
9341745,M/S J.P. TRADERS Under PMA,,,,MSE
9342231,SURESH ENTERPRISES (MSE) Under PMA,L1,17593.22,` 17593.22,
9342231,UMA RUBBER AND PLASTIC PRODUCT (MSE) Under PMA,L2,17627.12,` 17627.12 (Bid Price),
9342231,INDIAN RUBBER PRODUCTS (MSE) Under PMA,L3,31200.0,` 31200.00 (Bid Price),
9342231,GENERAL INDUSTRIAL CORPOR ATION Under PMA,L4,33559.32,` 33559.32 (Bid Price),
9342231,THE INDIAN POPULAR RUBBER (MSE) Under PMA,L5,33600.0,` 33600.00 (Bid Price),
