bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag
9315620,ALTAF H VALI Under PMA,,,,N/A
9315620,GUPTA STUDIO PRIVATE LIMITED Under PMA,,,,N/A
9315620,M/S INFINITY Under PMA,,,,N/A
9315620,UNIVERSAL TRADING CO. Under PMA,,,,N/A
9315620,VSM TECHNOLOGIES PRIVATE LIMITED Under PMA,,,,N/A
9257309,SWASTIKA HEALTH CENTER Under PMA,,,,N/A
9257289,SWASTIKA HEALTH CENTER Under PMA,,,,N/A
9172466,Apex Enterprises Under PMA,,,,Registered with designated Agency / Authority
9172466,BHAGWATI ENTERPRISES Under PMA,,,,Registered with designated Agency / Authority
9172466,DEE MANNEQUIN Under PMA,,,,Registered with designated Agency / Authority
9172466,FAIR DEAL SALES CORPORATION Under PMA,,,,Registered with designated Agency / Authority
9172466,IDEATE & INNOVATE PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9172466,M/S NAMAN ENTERPRISES Under PMA,,,,Registered with designated Agency / Authority
9172466,P.S.UDHYOG Under PMA,,,,Offline upload
9172466,POOJA INTERNATIONAL Under PMA,,,,Registered with designated Agency / Authority
9172466,SIDRA SYSTEM & SOLUTION LLP Under PMA,,,,Start-up
9286829,DEVYANSH INFRA TECHNOLOGY Under PMA,,,,MSE
9286829,KHANNA TRADER Under PMA,,,,MSE
9286829,S K TRADERS Under PMA,,,,MSE
9286776,LAXMI ENTERPRISES Under PMA,,,,N/A
9286776,M/S NAVEEN TRADERS Under PMA,,,,N/A
9286776,MISSAMARI TRADERS Under PMA,,,,N/A
9286776,SANGHU ENERGY SAVING SYSTEMS PRIVATE LIMITED Under PMA,,,,N/A
9286776,SHRI KEDAR TRADERS Under PMA,,,,N/A
9286749,ANJANEY HYDRAULIC SOLUTIONS Under PMA,,,,MII MSE
9286749,EAGLE EARTHMOVERS Under PMA,,,,MII MSE
9286749,M/S KUBER TRADING COMPANY Under PMA,,,,MII MSE
9320866,"GURU KARTAR PACKAGINGS (MSE,MII) Under PMA",L1,19358868.2,` 19358868.20,
9320866,"GCS PROTECH ENGINEERING PRIVATE LIMITED (MSE,MII) Under PMA",L2,19592611.0,` 19592611.00 (Bid Price),
9320866,"UNIVERSAL PRODUCTS(INDIA) (MSE,MII) Under PMA",L3,20153049.4,` 20153049.40 (Bid Price),
9320860,Global Supply Hub (MII) Under PMA,L1,1954950.0,` 1954950.00,
9320860,Raman Kumar & Bros. (MII) Under PMA,L2,2000000.0,` 2000000.00,
9320860,Bombay Traders (MII) Under PMA,L3,2025000.0,` 2025000.00,
9320827,"UNIVERSAL PRODUCTS(INDIA) (MSE,MII) Under PMA",L1,18973067.0,` 18973067.00,
9320827,"GURU KARTAR PACKAGINGS (MSE,MII) Under PMA",L2,19737744.0,` 19737744.00 (Bid Price),
9320827,"GCS PROTECH ENGINEERING PRIVATE LIMITED (MSE,MII) Under PMA",L3,20233738.0,` 20233738.00 (Bid Price),
9320773,"UNIVERSAL PRODUCTS(INDIA) (MSE,MII) Under PMA",L1,19470377.0,` 19470377.00,
9320773,"GURU KARTAR PACKAGINGS (MSE,MII) Under PMA",L2,20407229.0,` 20407229.00 (Bid Price),
9320773,"GCS PROTECH ENGINEERING PRIVATE LIMITED (MSE,MII) Under PMA",L3,21905523.0,` 21905523.00 (Bid Price),
9320732,SHANKAR VIJAY ENTERPRISE (MII) Under PMA,L1,17901000.0,` 17901000.00,
9320732,LAXMI AUTO BODY BUILDERS (MII) Under PMA,L2,17919000.0,` 17919000.00,
9320732,D N M SUPPLIER (MII) Under PMA,L3,17937000.0,` 17937000.00,
9282534,D S CORPORATION Under PMA,,,,Offline upload
9282534,I.C.GROUP Under PMA,,,,Offline upload
9282534,M/S SAI TRADERS Under PMA,,,,Offline upload
9281894,BRAR TRADERS Under PMA,,,,MSE
9281894,SEHAJ ENTERPRISES Under PMA,,,,MSE
9281894,SHREE RAM TRADERS Under PMA,,,,MSE
9281175,COMPUTER & CARTRIDGE SOLUTION Under PMA,,,,N/A
9281175,DHARAM AGENCIES Under PMA,,,,MSE
9281175,HIMALAYA REFRIGERATION Under PMA,,,,N/A
9281175,KJM GROUP SYSTEM SOLUTIONS Under PMA,,,,MSE
9281175,LEY LINE ENTERPRISE Under PMA,,,,N/A
9281175,M/S BHARAT COMPUTER THEOREM Under PMA,,,,MSE
9281175,MBB ENTERPRISES LLP Under PMA,,,,N/A
9281175,RV ENTERPRISES Under PMA,,,,N/A
9281175,SAMAL ENTERPRISES Under PMA,,,,MSE
9281175,SANGHU ENERGY SAVING SYSTEMS PRIVATE LIMITED Under PMA,,,,MSE
9281175,SRISAI SHREYANSHU ENTERPRISE PRIVATE LIMITED Under PMA,,,,N/A
9281175,SUN SYSTEMS Under PMA,,,,N/A
9281175,YURATECH GLOBAL PRIVATE LIMITED Under PMA,,,,MSE
9280796,A J ENTERPRISES Under PMA,,,,Offline upload
9280796,HARIHAR ENTERPRISES Under PMA,,,,Offline upload
9280796,HOTAGE INDIA Under PMA,,,,Vendor Assessed
9280796,MINI METRO EV LLP Under PMA,,,,Registered with designated Agency / Authority
9280796,MK SHAKTI ENTERPRISES Under PMA,,,,Offline upload
9280796,OCULUS AUTO INDUSTRIES LLP Under PMA,,,,MSE
9280796,TECH TRADING COMPANY Under PMA,,,,Offline upload
9280741,A J ENTERPRISES Under PMA,,,,N/A
9280741,HARIHAR ENTERPRISES Under PMA,,,,N/A
9280741,HOTAGE INDIA Under PMA,,,,MSE
9280741,MINI METRO EV LLP Under PMA,,,,MSE
9280741,MK SHAKTI ENTERPRISES Under PMA,,,,N/A
9280741,TECH TRADING COMPANY Under PMA,,,,N/A
9272767,J.S.ENTERPRISES Under PMA,,,,MSE
9272767,MANU ENTERPRISES Under PMA,,,,MSE
9272767,TRICON SOLUTIONS Under PMA,,,,MSE
9272714,BHARTIYA ENTERPRISES Under PMA,,,,MSE
9272714,J.S.ENTERPRISES Under PMA,,,,MSE
9272714,MANU ENTERPRISES Under PMA,,,,MSE
9272714,OLIVE TECHNOLOGIES Under PMA,,,,MSE
9272714,TRICON SOLUTIONS Under PMA,,,,MSE
9272551,DAWAKHANA Under PMA,,,,Offline upload
9272551,DURGA MEDICAL STORES Under PMA,,,,MSE
9272551,GULAB MEDICOSE Under PMA,,,,MSE
9272551,JATIN PHARMA Under PMA,,,,MSE
9272551,M/S Tinsukia Drugs & Surgicals Under PMA,,,,Registered with designated Agency / Authority
9272551,SHRI KHATUSHYAM LIFECARE PRIVATE LIMITED Under PMA,,,,MSE
9272551,SUN DIVINE HEALTH CARE Under PMA,,,,MSE
9272551,UDM HEALTHCARE Under PMA,,,,MSE
9271903,ARUN ENTERPRISES Under PMA,,,,KVIC
9271903,BAJARANG ENTERPRISE Under PMA,,,,ACASH
9271903,DAWAKHANA Under PMA,,,,Offline upload
9271903,DEY'S PRINTING AND STATIONERY Under PMA,,,,ACASH
9271903,DURGA MEDICAL STORES Under PMA,,,,MSE
9271903,GULAB MEDICOSE Under PMA,,,,MSE
9271903,JATIN PHARMA Under PMA,,,,MSE
9271903,KANDA ENTERPRISES Under PMA,,,,MSE
9271903,SHRI KHATUSHYAM LIFECARE PRIVATE LIMITED Under PMA,,,,MSE
9271903,SONALI ENTERPRISE Under PMA,,,,ACASH
9259789,SWASTIKA HEALTH CENTER Under PMA,,,,N/A
9320946,"UNIVERSAL PRODUCTS(INDIA) (MSE,MII) Under PMA",L1,18858768.0,` 18858768.00,
9320946,"GURU KARTAR PACKAGINGS (MSE,MII) Under PMA",L2,20246312.0,` 20246312.00 (Bid Price),
9320946,"GCS PROTECH ENGINEERING PRIVATE LIMITED (MSE,MII) Under PMA",L3,21196535.0,` 21196535.00 (Bid Price),
9320917,KHUSHI TRANSPORT COMPANY Under PMA,L1,4248300.0,` 4248300.00,
9320917,SATNAM ROADLINES Under PMA,L2,4271000.0,` 4271000.00,
9320917,SHARMA ENTERPRISES Under PMA,L3,4275500.0,` 4275500.00,
9320917,MANAS ROADLINE Under PMA,L4,4282000.0,` 4282000.00 (Bid Price),
9320894,SHARMA ENTERPRISES Under PMA,L1,1732800.0,` 1732800.00,
9320894,KHUSHI TRANSPORT COMPANY Under PMA,L2,1739200.0,` 1739200.00,
9320894,SATNAM ROADLINES Under PMA,L3,1745600.0,` 1745600.00,
9320894,MANAS ROADLINE Under PMA,L4,1752160.0,` 1752160.00 (Bid Price),
9280579,M/S   SHAKTI INDUSTRIES Under PMA,,,,N/A
9280579,M/S DELMO INDUSTRIES Under PMA,,,,N/A
9280579,SHARVIL TRADING COMPANY Under PMA,,,,MSE
9280579,TECH TRADING COMPANY Under PMA,,,,N/A
9280524,HARIHAR ENTERPRISES Under PMA,,,,N/A
9280524,MK SHAKTI ENTERPRISES Under PMA,,,,N/A
9280524,TECH TRADING COMPANY Under PMA,,,,N/A
9280481,HARIHAR ENTERPRISES Under PMA,,,,Offline upload
9280481,MK SHAKTI ENTERPRISES Under PMA,,,,Offline upload
9280481,TECH TRADING COMPANY Under PMA,,,,Offline upload
9250688,AGASTYA SOLUTIONS Under PMA,,,,MSE
9250688,ANGEL ENTERPRISES Under PMA,,,,N/A
9250688,ELETECH LAB INSTRUMENTS Under PMA,,,,N/A
9250688,M/S B M ENTERPRISES Under PMA,,,,N/A
9250688,RAGHAV ELECTRICALS AND ELECTRONICS INDUSTRIAL COMPONENTS Under PMA,,,,MSE
9250688,TECH TRADING COMPANY Under PMA,,,,N/A
9320620,"M/S BEECO STORAGE SYSTEMS (MSE,MII) Under PMA",L1,2913900.0,` 2913900.00,
9320620,"SGM TRADERS (MSE,MII) Under PMA",L2,2916980.0,` 2916980.00,
9320620,TRISHIKA ENTERPRISES (MII) Under PMA,L3,2933700.0,` 2933700.00,
9320620,"M/S A.S.STEEL INDUSTRIES (MSE,MII) Under PMA",L4,3245547.8,` 3245547.80 (Bid Price),
9320620,MR TRADING COMPANY (MII) Under PMA,L5,4350940.0,` 4350940.00 (Bid Price),
9320180,"OCEAN MARKETING (MSE,MII) Under PMA",L1,1747105.0,` 1747105.00,
9320180,"ASRS TRADERS (MSE,MII) Under PMA",L2,2147710.0,` 2147710.00,
9320180,"S R MARKETING (MSE,MII) Under PMA",L3,2220955.0,` 2220955.00 (Bid Price),
9320085,R.S. BAJAJ TEA COMPANY (MII) Under PMA,L1,880000.0,` 880000.00,
9320085,DEEPAK TRADING CO. (MII) Under PMA,L2,882000.0,` 882000.00,
9320085,A BHARAT ASSOCIATE (MII) Under PMA,L3,885000.0,` 885000.00,
9320085,P R ENTERPRISES (MII) Under PMA,L4,940500.0,` 940500.00,
9320085,PANSARI INDUSTRY PRIVATE LIMITED (MII) Under PMA,L5,945000.0,` 945000.00 (Bid Price),
9320085,GAURANG ENTERPRISES (MII) Under PMA,L6,950000.0,` 950000.00 (Bid Price),
9320085,M/S P.C ENTERPRISES (MII) Under PMA,L7,1001000.0,` 1001000.00 (Bid Price),
9320085,MAITRI ENTERPRISES (MII) Under PMA,L8,1002500.0,` 1002500.00 (Bid Price),
9320085,uma industries (MII) Under PMA,L9,1005000.0,` 1005000.00 (Bid Price),
9320085,V K TRADERS (MII) Under PMA,L9,1005000.0,` 1005000.00 (Bid Price),
9320085,MANISHANKAR OILS PRIVATE LIMITED (MII) Under PMA,L10,1050000.0,` 1050000.00 (Bid Price),
9320480,B.M & Co. (MSE) Under PMA,L1,316590.0,` 316590.00,
9320480,B.M Traders (MSE) Under PMA,L2,323643.5,` 323643.50 (Bid Price),
9320480,CRESCENT AGENCIES (MSE) Under PMA,L3,325662.0,` 325662.00 (Bid Price),
9320480,ARIMA AGENCIES (MSE) Under PMA,L4,327315.0,` 327315.00 (Bid Price),
9320480,D.K.Enterprises (MSE) Under PMA,L5,329331.0,` 329331.00 (Bid Price),
9320480,SHREE SHYAM ENTERPRISES (MSE) Under PMA,L6,376755.0,` 376755.00 (Bid Price),
9320476,GEO MEDIA ENGINEERING & CONSULTANCY SERVICES PRIVATE LIMITED Under PMA,L1,509000.0,` 509000.00,
9320476,CIVIL ENGINEERING TESTING AND RESEARCH COUNCIL Under PMA,L2,510860.0,` 510860.00 (Bid Price),
9320471,GRISHM INTERNATIONAL Under PMA,L1,6034626.0,` 6034626.00,
9320471,BHAVYA TRADERS Under PMA,L2,6512631.0,` 6512631.00,
9320471,SHRI SHYAM ENTERPRISES Under PMA,L3,7099891.0,` 7099891.00 (Bid Price),
9277903,M/S UNITED POLYMERS Under PMA,,,,MII MSE
9277903,SENSTO GRAPHIC Under PMA,,,,MII MSE
9277903,VECTOR ENGINEERING Under PMA,,,,MII MSE
9315083,BHAGWATI ENTERPRISES Under PMA,,,,MSE
9315083,CHOUDHARY AUTO STORES Under PMA,,,,N/A
9315083,LOKNATH AGENCIES Under PMA,,,,MSE
9263963,PUNJAB EX-SERVICEMEN CORPORATION Under PMA,,,,N/A
9263963,U P PURVA SAINIK KALYAN NIGAM LIMITED Under PMA,,,,N/A
9263963,UTTARAKHAND PURV SAINIK KALYAN NIGAM LIMITED Under PMA,,,,N/A
9286523,m/s- shri durga enterprises Under PMA,,,,MII
9286523,M/S-SS ENTERPRISES Under PMA,,,,MII MSE
9286523,NATIONAL SALES CORPORATION Under PMA,,,,MII
9286393,COLUMBUS CLIMBER INDIA Under PMA,,,,N/A
9286393,DDY ENTERPRISES Under PMA,,,,MSE
9286393,GOBIND INDUSTRIES PRIVATE LIMITED Under PMA,,,,MSE
9286393,M/S ASIAN ENTERPRISES Under PMA,,,,N/A
9286390,ANJANEY HYDRAULIC SOLUTIONS Under PMA,,,,MII MSE
9286390,EAGLE EARTHMOVERS Under PMA,,,,MII MSE
9286390,M/S KUBER TRADING COMPANY Under PMA,,,,MII MSE
9286376,FLYWORLD COM Under PMA,,,,MSE
9286376,M/S KALYAN TOURS AND TRAVELS Under PMA,,,,MSE
9286376,SUCCESSCARE NATURALS INDIA PRIVATE LIMITED Under PMA,,,,MSE
9286001,BHAGYODAY ENTERPRISES Under PMA,,,,MSE
9286001,H & M Enterprise Under PMA,,,,MSE
9286001,K.P. TRAVELS Under PMA,,,,MSE
9286001,KHUSHI ENTERPRISE Under PMA,,,,MSE
9286001,KRISHNA TRAVELS Under PMA,,,,N/A
9286001,MAAHI SAGAR ENTERPRISE Under PMA,,,,MSE
9286001,Manav Travels Under PMA,,,,N/A
9286001,Oasis Corporation Under PMA,,,,MSE
9286001,Radheshyamservices Under PMA,,,,N/A
9286001,rishi travels Under PMA,,,,N/A
9286001,SAI TRAVELS Under PMA,,,,MSE
9286001,SKUMAR ENTERPRISE Under PMA,,,,MSE
9286001,The Music Studio Under PMA,,,,N/A
9285675,ANAISHA ENTERPRISES Under PMA,,,,N/A
9285675,govind pansari Under PMA,,,,N/A
9285675,hemsons power solution Under PMA,,,,N/A
9285675,JM ENTERPRISES Under PMA,,,,N/A
9285675,M.K CONSTRUCTION Under PMA,,,,N/A
9320191,"NUHYDRO AUTOMATION PRODUCTS (MSE,MII) Under PMA",L1,720000.0,` 720000.00,
9320191,"UNIQUE TRANSMISSION INDIA PVT LTD (MSE,MII) Under PMA",L2,760000.0,` 760000.00 (Bid Price),
9320188,YUG ENTERPRISE (MII) Under PMA,L1,499900.0,` 499900.00,
9320188,RUDRA ENTERPRISES (MII) Under PMA,L2,520000.0,` 520000.00,
9320188,INTELLO ENTERPRISE (MII) Under PMA,L3,545000.0,` 545000.00 (Bid Price),
9254598,M/S  BIO MEDICAL WASTE DISPOSAL AGENCY Under PMA,,,,N/A
9183690,AVP ENVIRO FACILITIES PRIVATE LIMITED Under PMA,,,,Offline upload
9183690,GREEN EARTH INFRA SERVICES Under PMA,,,,MSE
9183690,M/S  PREM SHANKAR YADAV CONTRACTOR Under PMA,,,,Offline upload
9183690,M/S MUKESH EARTHMOVERS AND CONTRACTOR Under PMA,,,,Offline upload
9183690,RRAM BUSINESS CORP Under PMA,,,,Vendor Assessed
9183690,SOHAM IMPEX (INDIA) PRIVATE LIMITED Under PMA,,,,Start-up
9319631,DEEPAK TRADING CO. (MII) Under PMA,L1,929000.0,` 929000.00,
9319631,R.S. BAJAJ TEA COMPANY (MII) Under PMA,L2,930000.0,` 930000.00,
9319631,MASUNIVERSE ENGINEERING PRIVATE LIMITED (MII) Under PMA,L3,944000.0,` 944000.00,
9319631,PANSARI INDUSTRY PRIVATE LIMITED (MII) Under PMA,L4,945000.0,` 945000.00 (Bid Price),
9319631,M/S P.C ENTERPRISES (MII) Under PMA,L5,1026000.0,` 1026000.00 (Bid Price),
9319631,MAITRI ENTERPRISES (MII) Under PMA,L6,1027500.0,` 1027500.00 (Bid Price),
9319631,V K TRADERS (MII) Under PMA,L7,1030000.0,` 1030000.00 (Bid Price),
9319288,DEEPAK TRADING CO. (MII) Under PMA,L1,919000.0,` 919000.00,
9319288,R.S. BAJAJ TEA COMPANY (MII) Under PMA,L2,920000.0,` 920000.00,
9319288,M/S P.C ENTERPRISES (MII) Under PMA,L3,936000.0,` 936000.00,
9319288,A BHARAT ASSOCIATE (MII) Under PMA,L4,940000.0,` 940000.00,
9319288,PANSARI INDUSTRY PRIVATE LIMITED (MII) Under PMA,L5,945000.0,` 945000.00,
9319288,MASUNIVERSE ENGINEERING PRIVATE LIMITED (MII) Under PMA,L6,948000.0,` 948000.00,
9319288,GAURANG ENTERPRISES (MII) Under PMA,L7,1000000.0,` 1000000.00 (Bid Price),
9319288,uma industries (MII) Under PMA,L8,1005000.0,` 1005000.00 (Bid Price),
9319288,MAITRI ENTERPRISES (MII) Under PMA,L9,1027500.0,` 1027500.00 (Bid Price),
9319288,V K TRADERS (MII) Under PMA,L10,1030000.0,` 1030000.00 (Bid Price),
9319997,BALAJI ENTERPRISES (MII) Under PMA,L1,107000.0,` 107000.00,
9319997,A.S.I. SALES PRIVATE LIMITED Under PMA,L2,108850.0,` 108850.00,
9319997,"HITECH SURVEY TOOLS PRIVATE LIMITED (MSE,MII) Under PMA",L3,650000.0,` 650000.00 (Bid Price),
9319997,AGS INDUSTRIES (MII) Under PMA,L4,951000.0,` 951000.00 (Bid Price),
9319813,A C THAKRAR & ASSOCIATES Under PMA,L1,12000.0,` 12000.00,
9319813,MAHESHWARI & COMPANY Under PMA,L2,14485.0,` 14485.00,
9319813,S H A P Y & ASSOCIATES Under PMA,L3,14960.0,` 14960.00,
9319813,G N P & CO Under PMA,L4,50000.0,` 50000.00 (Bid Price),
9319813,H H S & CO Under PMA,L5,59000.0,` 59000.00 (Bid Price),
9319813,NITIN NAKUL AND CO Under PMA,L6,74500.0,` 74500.00 (Bid Price),
9319813,A R P A N AND ASSOCIATES LLP Under PMA,L7,84000.0,` 84000.00 (Bid Price),
9319813,LIMBADIYA & CO Under PMA,L8,101000.0,` 101000.00 (Bid Price),
9319813,PRAKASH CHANDRA JAIN & COMPANY Under PMA,L9,125000.0,` 125000.00 (Bid Price),
9314653,Ambay Enterprises (MII) Under PMA,L1,548700.0,` 548700.00,
9314653,M/S RELIABLE OFFICE SUPPLIERS (MII) Under PMA,L2,550095.0,` 550095.00,
