id,bid_number,parent_bid,ra_or_bid,category,full_category,quantity,item_count,status,is_custom,is_high_value,is_boq,start_date,end_date,ministry,department,buyer_id,category_id
9338018,GEM/2026/R/668354,GEM/2026/B/7357156,RA,"Synthetic Athletic Track,Sub Base Civil Work","Synthetic Athletic Track,Sub Base Civil Work",1200,2,2,1,False,False,2026-05-17T00:00:00Z,2026-05-19T09:00:00Z,Ministry of Defence,Department of Military Affairs,Leneesh@123,home_univ_univ_univ_univ
9337970,GEM/2026/R/668352,GEM/2026/B/7449944,RA,"Optical LAN Extender 20 KM,Optical LAN Extender 40 KM,24 Port L2 Manageable Switch,Optical Patch Co","Optical LAN Extender 20 KM,Optical LAN Extender 40 KM,24 Port L2 Manageable Switch,Optical Patch Cord duplex LC to LC 20M,Optical Patch Cord duplex LC to SC 10M",38,5,2,0,False,True,2026-05-16T22:00:00Z,2026-05-19T09:00:00Z,Ministry of Defence,Department of Military Affairs,saksham.tc4,home_boq_boql_boql_boq
9332641,GEM/2026/B/7543142,,Bid,Repair and Overhauling Service - diesel generators- DG Sets; armature rewinding; Yes; Service Provi,Repair and Overhauling Service - diesel generators- DG Sets; armature rewinding; Yes; Service Provider Premises,1,1,2,0,False,False,2026-05-15T09:02:48Z,2026-05-19T09:00:00Z,Ministry of Defence,Department of Military Affairs,buyer_318,services_home_gene
9332628,GEM/2026/B/7543131,,Bid,Repair and Overhauling Service - built up trucks; repair and overhuauling of rotary pump; Yes; Serv,Repair and Overhauling Service - built up trucks; repair and overhuauling of rotary pump; Yes; Service Provider Premises,1,1,2,0,False,False,2026-05-15T08:55:38Z,2026-05-19T09:00:00Z,Ministry of Defence,Department of Military Affairs,buyer_318,services_home_gene
9332614,GEM/2026/B/7543119,,Bid,Repair and Overhauling Service - built up trucks; repair and overhuauling of electronic and diesel ,Repair and Overhauling Service - built up trucks; repair and overhuauling of electronic and diesel control (edc) pump of als; Yes; Service Provider Premises,1,1,2,0,False,False,2026-05-15T08:47:50Z,2026-05-19T09:00:00Z,Ministry of Defence,Department of Military Affairs,buyer_318,services_home_gene
9341419,GEM/2026/R/668740,GEM/2026/B/7506602,RA,"18213M61A20,09283-26016,15710M83F00,99000M24120-370,10100M73D00","18213M61A20,09283-26016,15710M83F00,99000M24120-370,10100M73D00",11,5,2,0,False,True,2026-05-17T23:00:00Z,2026-05-19T09:00:00Z,Ministry of Defence,Department of Military Affairs,hunny2901,home_boq_boql_boql_boq
9341371,GEM/2026/R/668732,GEM/2026/B/7471254,RA,"ANGLE IRON,FLAT IRON,3 mm DIA CHAIN LINK FENCING,GALVANIZED STEEL BARBED WIRE,NUT WITH BOLT AND D W","ANGLE IRON,FLAT IRON,3 mm DIA CHAIN LINK FENCING,GALVANIZED STEEL BARBED WIRE,NUT WITH BOLT AND D WASHER,MS DOOR,LABOUR AND INSTALLATION CHARGE",7423,7,2,0,False,True,2026-05-17T22:00:00Z,2026-05-19T09:00:00Z,Ministry of Defence,Department of Military Affairs,paymentauthority_123,home_boq_boql_boql_boq
9341357,GEM/2026/R/668727,GEM/2026/B/7471326,RA,"Nut,W Vehicular,Shaft,Bulb 70W,P Valve,Rubber Hose,Clutch M,Booster,Glass RH,Lock Front LH,Wiper Ar","Nut,W Vehicular,Shaft,Bulb 70W,P Valve,Rubber Hose,Clutch M,Booster,Glass RH,Lock Front LH,Wiper Arm,Reservoir,Speed Sensor,Bush Kit,E Starter,Aux Water,Spring Brake,Piston Std,Bulb 5W,Hose",367,20,2,0,False,True,2026-05-17T22:00:00Z,2026-05-19T09:00:00Z,Ministry of Defence,Department of Military Affairs,tyagir@tusker,home_boq_boql_boql_boq
9282043,GEM/2026/B/7497390,,Bid,Facility Management Services - LumpSum Based - FOGGING MACHINE; QTY 01 PCS; Consumables to be provi,Facility Management Services - LumpSum Based - FOGGING MACHINE; QTY 01 PCS; Consumables to be provided by service provider (inclusive in contract cost),1,1,2,0,False,False,2026-05-02T19:21:06Z,2026-05-18T21:00:00Z,,Urban Development Department Uttar Pradesh,Buyer.vijaygarh,services_home_fa85086605_fa43870134
9307649,GEM/2026/B/7520521,,Bid,LED Luminaire For Road And Street Lights Conforming To IS 10322 (Part 5/Section 3) (V3) (Under BIS ,LED Luminaire For Road And Street Lights Conforming To IS 10322 (Part 5/Section 3) (V3) (Under BIS Scheme - II),100,1,2,0,False,False,2026-05-08T20:57:16Z,2026-05-18T21:00:00Z,,Urban Development Department Uttar Pradesh,vinodkumarpandey@123,home_el05420327_ligh_exte_le13704051
9337841,GEM/2026/R/668336,GEM/2026/B/7471205,RA,"H1-8305-000122_CANVAS COTTON OG,H1_8040-000147_FEVICOL SR-998,G2_9505-000013_WIRE STEEL,H1_8010-000","H1-8305-000122_CANVAS COTTON OG,H1_8040-000147_FEVICOL SR-998,G2_9505-000013_WIRE STEEL,H1_8010-000110_PAINT RED OXIDE,H1-A_8010-000128_THINNER ANTICHILL,H1_8010-007501_PAINT R. F. U. OLIVE GREEN,H1_8010-007494_PAINT YELLOW,H1_5315-000064_SPLIT PIN,G1_5320-000046_REVITS,G2_3439-000017_ELECT RODES WELDING STEEL MILD,H1-A_8010-000578_PAINT FINISHING MATT RFU AIR DRYING B,H2_8305-000084_CLOATH MUSLINE WHITE",242,12,2,0,False,True,2026-05-16T21:00:00Z,2026-05-18T21:00:00Z,Ministry of Defence,Department of Military Affairs,tsg39120,home_boq_boql_boql_boq
