id,bid_number,parent_bid,ra_or_bid,category,full_category,quantity,item_count,status,is_custom,is_high_value,is_boq,start_date,end_date,ministry,department,buyer_id,category_id
9323086,GEM/2026/R/667070,GEM/2026/B/7296177,RA,"Metal Storage Cabinet,Metal Beds (V3),Revolving Chair (V5),Chair for General Purpose,Metal Beds (V3","Metal Storage Cabinet,Metal Beds (V3),Revolving Chair (V5),Chair for General Purpose,Metal Beds (V3),Metal Storage Cabinet,Sofa (V3),Modular Table / Meeting Table / Centre Table (V2),Dressing Table",1010,9,2,0,False,False,2026-05-14T13:00:00Z,2026-05-15T13:00:00Z,Ministry of Defence,Department of Military Affairs,acwecontract@,"home_fu14684684_acco_fu82806882_me16478581,home_fu14684684_acco_fu82806882_me73452643,home_fu14684684_acco_fu82806882_re71201828,home_fu14684684_acco_fu82806882_fixe,home_fu14684684_acco_fu82806882_sofa,home_fu14684684_acco_offi_mo51130563,home_furn_ac74548875_furn_dres"
9323062,GEM/2026/R/667068,GEM/2026/B/7463333,RA,coat combat disruptive detachable lining,coat combat disruptive detachable lining,1911,1,2,0,False,False,2026-05-14T13:00:00Z,2026-05-15T13:00:00Z,Ministry of Defence,Department of Military Affairs,DyComdt@124,home_appa_clot_coat_coat
9322955,GEM/2026/R/667058,GEM/2026/B/7395222,RA,"Steel Almirah / Cabinets (V4),Steel Almirah / Cabinets (V4),Metal Beds (V3),Metal Beds (V3),Steel A","Steel Almirah / Cabinets (V4),Steel Almirah / Cabinets (V4),Metal Beds (V3),Metal Beds (V3),Steel Almirah / Cabinets (V4),Modular Table / Meeting Table / Centre Table (V2),Modular Table / Meeting Table / Centre Table (V2),Revolving Chair (V5),FD-E6-MAP-09,TP,FD-359,FD-MAP-II-04,FD-1025,SKD-145,FD-1112,FD-281,FD-E6-MAP-02 R,FD-MAP-II-07,FD-384",1399,19,2,0,False,False,2026-05-14T13:00:00Z,2026-05-15T13:00:00Z,Ministry of Defence,Department of Military Affairs,dcwe.brly,"home_fu14684684_acco_fu82806882_st05844582,home_fu14684684_acco_fu82806882_me73452643,home_fu14684684_acco_offi_mo51130563,home_fu14684684_acco_fu82806882_re71201828,home_boq_boql_boql_boq"
9322923,GEM/2026/R/667057,GEM/2026/B/7397024,RA,Monthly Basis Cab & Taxi Hiring Services - Sedan; 1500 km x 320 hours; Local,Monthly Basis Cab & Taxi Hiring Services - Sedan; 1500 km x 320 hours; Local,1,1,2,0,False,False,2026-05-14T13:00:00Z,2026-05-15T13:00:00Z,Ministry of Heavy Industries and Public Enterprises,Department of Heavy Industry,mtpstores1,services_home_ve54336454_mont
9322920,GEM/2026/R/667056,GEM/2026/B/7440699,RA,Interactive Panels with CPU,Interactive Panels with CPU,80,1,2,0,True,False,2026-05-14T13:00:00Z,2026-05-15T13:00:00Z,,Panchayati Raj Department Uttar Pradesh,BuyerJilaPanchayat,home_info_comp_co36451542_in13781702
9322852,GEM/2026/R/667044,GEM/2026/B/7376401,RA,"Combat T - Shirt (Improved Version) (Defence),Combat T - Shirt (Improved Version) (Defence)","Combat T - Shirt (Improved Version) (Defence),Combat T - Shirt (Improved Version) (Defence)",19976,2,2,0,False,False,2026-05-14T13:00:00Z,2026-05-15T13:00:00Z,Ministry of Defence,Department of Military Affairs,DyComdt@124,home_appa_clot_tshi_comb
9322809,GEM/2026/R/667039,GEM/2026/B/7477399,RA,Fogging Machine (V2) as per IS 14855 (Part 1),Fogging Machine (V2) as per IS 14855 (Part 1),6,1,2,0,False,False,2026-05-14T13:00:00Z,2026-05-15T13:00:00Z,Ministry of Consumer Affairs Food and Public Distribution,Department of Food and Public Distribution,chn.purchse@cwc,home_fa68031381_agri_disp_fogg
9207238,GEM/2026/B/7430337,,Bid,"Title1,Title2,Title3,Title4,Title5,Title6,Title7,Title8,Title9,Title10,Title11,Title12,Title13,Titl","Title29,Title30,Title31,Title1,Title2,Title3,Title4,Title5,Title6,Title7,Title8,Title9,Title10,Title11,Title12,Title13,Title14,Title15,Title16,Title17,Title18,Title19,Title20,Title21,Title22,Title23,Title24,Title25,Title26,Title27,Title28",2457,31,2,0,False,True,2026-04-25T17:16:13Z,2026-05-15T13:00:00Z,,Energy Department Uttar Pradesh,buycon39.pvvnlv.up,home_boq_boql_boql_boq
9322472,GEM/2026/R/667021,GEM/2026/B/7506766,RA,Cooking or table salt,Cooking or table salt,8000,1,2,0,False,False,2026-05-14T12:00:00Z,2026-05-15T12:28:02Z,Ministry of Defence,Department of Military Affairs,60COYASCSUP9@123,home_fo61163888_seas_herb_cook
9321709,GEM/2026/R/666966,GEM/2026/B/7464676,RA,"PICS 143 01 00 003,Jaw plate fix 16 teeth,PICS C 143 01 02 002,Swing jaw plate 15 teeth,PICS M 143 ","PICS 143 01 00 003,Jaw plate fix 16 teeth,PICS C 143 01 02 002,Swing jaw plate 15 teeth,PICS M 143 01 00 011,Toggel plate,PICS CM 143 01 02 005,Swing jaw keeper plate,PICS 163 01 02 006,Bolt for keeper plate,PICS C 143 01 00 004,Bottem liner plate RH 18 Kg,PICS C 143 01 00 005,Bottem lineplate LH 18 Kg,PICS C 143 01 00 006,Top liner plate RH 35 Kg,PICS C 143 01 00 007,Top liner plate LH 35 Kg,PICS CM 143 01 02 004,Toggel seat for swing jaw,PICS CM 143 01 00 012,Toggel seat for toggel block,PICS 22 38 010,Hex nut for keeper plate bolt,PICS 143 01 00 021,Bolt for liner plate,PICS 22 38 006,Hex nut for liner plate,PICS 22 17 041,Oil seal out side brg cover,PICS 22 17 081,Oil seal for swing jaw brg cover,PICS 22 17 082,Oil seal for inside brg cover,PICS 143 01 00 0022,Bolt for tapper wedge block,PICS 143 01 00 023,Bolt for Toggel wedge block lock plate,PICS 143 01 03 001,Pull back rod,PICS 22 34 024,Hex bolt Ist Deck,PICS 22 46 004,Tapper washer Ist Deck,PICS 22 41 004,Spring washer Ist Deck,PICS 22 38 004,Hex nu",682,35,2,0,False,True,2026-05-14T11:00:00Z,2026-05-15T12:11:37Z,Ministry of Defence,Department of Defence,oc1052-fw,home_boq_boql_boql_boq
9317206,GEM/2026/R/666630,GEM/2026/B/7404803,RA,Interactive Panels with CPU,Interactive Panels with CPU,2,1,2,0,False,False,2026-05-13T12:00:00Z,2026-05-15T12:00:00Z,,Panchayats and Rural Housing Department Gujarat,acc-jotana,home_info_comp_co36451542_in13781702
9317144,GEM/2026/B/7528856,,Bid,Repair and Overhauling Service - cars; MARUTI SUZUKI INDIA LIMITED; Yes; Buyer Premises,Repair and Overhauling Service - cars; MARUTI SUZUKI INDIA LIMITED; Yes; Buyer Premises,3,1,2,0,False,False,2026-05-12T11:57:40Z,2026-05-15T12:00:00Z,Ministry of Defence,Department of Military Affairs,tssclerk984@984,services_home_gene
9316828,GEM/2026/B/7528560,,Bid,Repair and Overhauling Service - cars; Mahindra & Mahindra; Yes; Buyer Premises,Repair and Overhauling Service - cars; Mahindra & Mahindra; Yes; Buyer Premises,2,1,2,0,False,False,2026-05-12T11:27:45Z,2026-05-15T12:00:00Z,Ministry of Defence,Department of Military Affairs,tssclerk984@984,services_home_gene
9322343,GEM/2026/R/667017,GEM/2026/B/7437242,RA,GRINDING SEGMENT 38.1 X 103.19 / 84.14 X 200. RAD. 228.5 MM SPECN. GRINDWELL NORTON- 38 A. 36 F 12 ,GRINDING SEGMENT 38.1 X 103.19 / 84.14 X 200. RAD. 228.5 MM SPECN. GRINDWELL NORTON- 38 A. 36 F 12 VBE,40,1,2,1,False,False,2026-05-14T12:00:00Z,2026-05-15T12:00:00Z,Ministry of Defence,Department of Defence Production,msfeo1,home_univ_univ_univ_univ
