id,bid_number,parent_bid,ra_or_bid,category,full_category,quantity,item_count,status,is_custom,is_high_value,is_boq,start_date,end_date,ministry,department,buyer_id,category_id
9303850,GEM/2026/R/665148,GEM/2026/B/7423669,RA,PROCUREMENT OF P2 MOTOR CASING ASSEMBLY,PROCUREMENT OF P2 MOTOR CASING ASSEMBLY,8,1,2,1,False,False,2026-05-09T12:00:00Z,2026-05-12T12:10:03Z,Ministry of Defence,Department of Defence Production,IMMLRSAM,home_univ_univ_univ_univ
9277478,GEM/2026/B/7493326,,Bid,"Combo valve with integrated actuator, with Male QCC, EFCV and OFPD for 425 KG cylinders","Combo valve with integrated actuator, with Male QCC, EFCV and OFPD for 425 KG cylinders",375,1,2,1,False,False,2026-05-02T11:26:29Z,2026-05-12T12:00:00Z,Ministry of Petroleum and Natural Gas,INDIAN OIL CORPORATION LIMITED,OOLPGPBP,home_univ_univ_univ_univ
9278142,GEM/2026/B/7493924,,Bid,"Promethazine HCL 2 point 5 per 25 mg per ml inj,Lorazepam 2 mg per ml 2 ml inj,Tranexamic Acid 500 ","Promethazine HCL 2 point 5 per 25 mg per ml inj,Lorazepam 2 mg per ml 2 ml inj,Tranexamic Acid 500 mg per 5 ml inj,Enoxaparin 60 mg Inj,Labetalol HCL 5 mg per 4 ml inj,Frusemide 20 mg per 2 ml inj,Mannitol 20 Per bott of 350 ml,Ranitidine HCL 50 mg 2 ml inj,Dicyclomine HCL 20 mg inj,Amoxycillin 1 gm and Clavulanic Acid 200 mg inj,Ceftriaxone 1 gm Inj",950,11,2,0,False,True,2026-05-01T11:28:42Z,2026-05-12T12:00:00Z,Ministry of Defence,Department of Military Affairs,ramankotnala,home_boq_boql_boql_boq
9280142,GEM/2026/B/7495691,,Bid,"Bty 12V 7AH,Mother Board,Maintenance box Epson,Fuser roller Konica,OPC rum Sharp 6020,Developer Sha","Bty 12V 7AH,Mother Board,Maintenance box Epson,Fuser roller Konica,OPC rum Sharp 6020,Developer Sharp,Cleaning blade sharp,Pressure roller Sharp 6020,Keyboard and Mouse wired,Processor Core Intel,Adapter 12V,Paper pickup roller Epson",36,12,2,0,False,True,2026-05-02T11:49:57Z,2026-05-12T12:00:00Z,Ministry of Defence,Department of Military Affairs,Buyer352,home_boq_boql_boql_boq
9280132,GEM/2026/B/7495681,,Bid,"DISTRIBUTOR HEAD,BATTERY CUTT OF SWITCH,PRESSURE SWITCH,PUMP ASSY FUEL,DISC CLUTCH,BRG CLUTCH RELEA","DISTRIBUTOR HEAD,BATTERY CUTT OF SWITCH,PRESSURE SWITCH,PUMP ASSY FUEL,DISC CLUTCH,BRG CLUTCH RELEASE",7,6,2,0,False,True,2026-05-02T11:53:37Z,2026-05-12T12:00:00Z,Ministry of Defence,Department of Military Affairs,Rahul@122026,home_boq_boql_boql_boq
9280120,GEM/2026/B/7495670,,Bid,"UPS BTY 12V 7AH,KEYBOARD WITH MOUSE,SMPS,RAM DDR III 4GB,PRINTER GEAR","UPS BTY 12V 7AH,KEYBOARD WITH MOUSE,SMPS,RAM DDR III 4GB,PRINTER GEAR",28,5,2,0,False,True,2026-05-02T11:46:32Z,2026-05-12T12:00:00Z,Ministry of Defence,Department of Military Affairs,Ayu-83,home_boq_boql_boql_boq
9280112,GEM/2026/B/7495662,,Bid,"CONCENTRIC SLAVE CYL,WHEEL GEAR,CRANK SENSOR,OIL FILTER,FUSE 15 AMP,ACCELATATOR CABLE,BUSH SET,SHOC","CONCENTRIC SLAVE CYL,WHEEL GEAR,CRANK SENSOR,OIL FILTER,FUSE 15 AMP,ACCELATATOR CABLE,BUSH SET,SHOCK ABSORBER REAR,FRT BRAKE SHOE,FRT BRAKE SHOE ASSY,TAIL LAMP ASSY,CHAIN SPROCKET SET,RATCHET KICK STARTER,ENGINE PACKING KIT,ASSY CLUTCH PRESSURE PLATE,CLUTCH RELEASE BEARING,PRIMARY SHAFT,CHECK NUT,GEAR TOP COVER ASSY,GEAR LEVER LINKAGE,COMBINATION SWITCH,BUSH SET,STEERING RACK ASSY,CLUTCH AND PRESSURE PLATE SET,CLUTCH RELEASE BEARING,HOOD BALANCER ASSY,TAIL GATE LOCK ASSY,PILOT BEARING,CLUTCH PLATE,WIPER MOTOR",45,30,2,0,False,True,2026-05-02T11:46:05Z,2026-05-12T12:00:00Z,Ministry of Defence,Department of Military Affairs,Sharma@114,home_boq_boql_boql_boq
9280029,GEM/2026/B/7495591,,Bid,"VALVE INTAKE,INJECTOR COUPLER,INJECTOR ASSY,OIL COOLER ASSY,AIR FILTER,OIL FILTER,TAPPET COVER SEAL","VALVE INTAKE,INJECTOR COUPLER,INJECTOR ASSY,OIL COOLER ASSY,AIR FILTER,OIL FILTER,TAPPET COVER SEAL,CRANK SHAFT OIL SEAL,WATER VALVE ASSY,RADIATOR ASSY,TURBOCHARGER ASSY,FUEL WATER SEPARATOR",20,12,2,0,False,True,2026-05-02T11:30:35Z,2026-05-12T12:00:00Z,Ministry of Defence,Department of Military Affairs,Sharma@114,home_boq_boql_boql_boq
9280018,GEM/2026/B/7495580,,Bid,"Stopper Cable,Air Cleaner Assy,Air Cleaner Hose,Starting Recoil Assy,Fuel Pipe,Bracket,Carburator A","Stopper Cable,Air Cleaner Assy,Air Cleaner Hose,Starting Recoil Assy,Fuel Pipe,Bracket,Carburator Assy,Steering Cyl Seal Kit,Clutch Pressure Plate Kit,Linkage End Assy",11,10,2,0,False,True,2026-05-02T11:32:55Z,2026-05-12T12:00:00Z,Ministry of Defence,Department of Military Affairs,TSSCLK193,home_boq_boql_boql_boq
9280010,GEM/2026/B/7495572,,Bid,Lead Acid Storage Batteries For Motor Vehicles with Light Weight and High Cranking Performance (V2),Lead Acid Storage Batteries For Motor Vehicles with Light Weight and High Cranking Performance (V2) Conforming to IS 14257,9,1,2,0,False,False,2026-05-02T11:33:58Z,2026-05-12T12:00:00Z,,Ports and Transport Department Gujarat,DCABDSTGEM,home_powe_batt_ba46120556_le45386125
