bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag
9294778,360 BYTES TECH VENTURE PRIVATE LIMITED Under PMA,,,,MSE
9294778,ADD24 SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9294778,ADG ONLINE SOLUTIONS PRIVATE LIMITED Under PMA,,,,MSE
9294778,ALPHEN STORE PRIVATE LIMITED Under PMA,,,,N/A
9294778,APPENTUS TECHNOLOGIES PRIVATE LIMITED Under PMA,,,,MSE
9294778,AROOSHA TECHNOLOGIES PRIVATE LIMITED Under PMA,,,,MSE
9294778,AVEDNEX PRIVATE LIMITED Under PMA,,,,N/A
9294778,Brand Innovation Under PMA,,,,N/A
9294778,BUIMB RESEARCH LLP Under PMA,,,,N/A
9294778,CKG Enterprises Under PMA,,,,MSE
9294778,CODFTY PRIVATE LIMITED Under PMA,,,,MSE
9294778,DIPOLE TECH INNOVATIONS (OPC) PRIVATE LIMITED Under PMA,,,,N/A
9294778,FRIEND MEDIA ADD CO. Under PMA,,,,MSE
9294778,Get E Ideas Under PMA,,,,N/A
9294778,Hitesh Ravindra Bansode Under PMA,,,,N/A
9294778,INFOGENTECH SOFTWARES LLP Under PMA,,,,N/A
9294778,INVICTA MEDIA PRIVATE LIMITED Under PMA,,,,MSE
9294778,ISEARCH SOLUTION PRIVATE LIMITED Under PMA,,,,MSE
9294778,KINOKROWN Under PMA,,,,MSE
9294778,KRONOVATION LLP Under PMA,,,,MSE
9294778,LEXCIS SOLUTIONS PRIVATE LIMITED Under PMA,,,,MSE
9294778,MARKETONIC Under PMA,,,,MSE
9294778,MILDAIN SOLUTIONS LLP Under PMA,,,,MSE
9294778,Mindmine Unlimited Under PMA,,,,MSE
9294778,Mitosia Under PMA,,,,MSE
9294778,MOUNT TALENT CONSULTING PRIVATE LIMITED Under PMA,,,,N/A
9294778,MULTIVISION WIZARDS PRIVATE LIMITED Under PMA,,,,MSE
9294778,N D TECHLAND PRIVATE LIMITED Under PMA,,,,N/A
9294778,NEXARA SOFT PRIVATE LIMITED Under PMA,,,,MSE
9294778,PRACXIS COMMUNICATIONS PRIVATE LIMITED Under PMA,,,,MSE
9294778,SWICONS CONSULTANCY SERVICES PRIVATE LIMITED Under PMA,,,,N/A
9294778,TECHCURATORS PRIVATE LIMITED Under PMA,,,,MSE
9294778,UNIQUE IDEAS ADVERTISING PRIVATE LIMITED Under PMA,,,,MSE
9294778,UPROI DIGITAL PRIVATE LIMITED Under PMA,,,,MSE
9294778,VA Prime Under PMA,,,,MSE
9349757,MOBILE COMMUNICATIONS INDIA PRIVATE LIMITED (MII) Under PMA,L1,1133550.0,` 1133550.00,
9349757,LINKWELL ELECTRONICS PRIVATE LIMITED (MII) Under PMA,L2,1148750.0,` 1148750.00,
9349754,"NAKUL ENTERPRISES (MSE,MII) Under PMA",L1,4262940.0,` 4262940.00,
9349754,"CHOUHAN ENTERPRISES (MSE,MII) Under PMA",L2,4461799.0,` 4461799.00 (Bid Price),
9349754,"VAANI ENTERPRISES (MSE,MII) Under PMA",L3,4793412.0,` 4793412.00 (Bid Price),
9344428,BST MART Under PMA,,,,N/A
9344428,SHIVBACHAN GREEN SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9344325,BST MART Under PMA,,,,N/A
9344325,SHIVBACHAN GREEN SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9304341,CHAWLA MACHINERY STORE Under PMA,,,,MSE
9304341,Moni Enterprises Under PMA,,,,MSE
9304341,Universal Traders Under PMA,,,,MSE
9287732,M/S KULDEEP KUMAR KAKKAR Under PMA,,,,MII
9287732,S.M ENTERPRISES Under PMA,,,,MII
9287732,TISHYA ENTERPRISES Under PMA,,,,MII MSE
9313114,M/S BABEEN CONSTRUCTION Under PMA,,,,Offline upload
9313114,M/S HANUMANT CONSTRUCTIONS Under PMA,,,,Offline upload
9313114,NEOTECH CREATIVE SOLUTIONS Under PMA,,,,Offline upload
9313015,NAWBHARAT TRADE AGENCY Under PMA,,,,MSE
9313015,NEXUS INDIA Under PMA,,,,MSE
9313015,SWATI ENTERPRISE Under PMA,,,,MSE
9349426,PAVAN SUPPLY CORPORATION (MII) Under PMA,L1,71880.0,` 71880.00,
9349426,S.S.TRADERS (MII) Under PMA,L2,79200.0,` 79200.00 (Bid Price),
9349426,CALCUTTA AUTO CONCERN (MII) Under PMA,L3,80800.0,` 80800.00 (Bid Price),
9349158,M/s MANNAT TRADERS Under PMA,L1,6895000.0,` 6895000.00,
9349158,M/S AJMAL CONTRACTOR Under PMA,L2,7025500.0,` 7025500.00 (Bid Price),
9349158,H.A. TRADING COMPANY Under PMA,L3,7050500.0,` 7050500.00 (Bid Price),
9349060,VNG MEDICAL INNOVATION SYSTEM PRIVATE LIMITED (MSE) Under PMA,L1,61965.0,` 61965.00,
9349060,CARDIO CARE Under PMA,L2,74520.0,` 74520.00 (Bid Price),
9349060,MEDICAL SYSTEMS AND SERVICES Under PMA,L3,91935.0,` 91935.00 (Bid Price),
9347915,"HOLMARC OPTO-MECHATRONICS LIMITED (MSE,MII) Under PMA",L1,858852.5,` 858852.50,
9347915,PLANO OPTICS PRIVATE LIMITED (MII) Under PMA,L2,1797730.0,` 1797730.00 (Bid Price),
9347915,HP INSTRUMENTS Under PMA,L3,2552989.0,` 2552989.00 (Bid Price),
9343960,A.M WORLD Under PMA,,,,N/A
9343960,HS TRADERS Under PMA,,,,N/A
9343960,M/S SUHAIL & CO Under PMA,,,,N/A
9343960,NEW CRESCENT ENTERPRISES Under PMA,,,,N/A
9343960,SURESH TRADERS Under PMA,,,,N/A
9343872,Rama Tech World Under PMA,L1,235500.0,` 235500.00,
9343872,EMM GEE TRADERS Under PMA,L2,246000.0,` 246000.00,
9343872,MUNISH ENTERPRISES Under PMA,L3,251550.0,` 251550.00 (Bid Price),
9343480,CIRCUITECH SOLUTIONS PRIVATE LIMITED (MSE) Under PMA,L1,97000.0,` 97000.00,
9343480,Tech Macro Testing Solutions (MSE) Under PMA,L2,97500.0,` 97500.00,
9343480,AYUSUN ENTERPRISE Under PMA,L3,210000.0,` 210000.00 (Bid Price),
9291732,M/S H&M ENTERPRISES Under PMA,,,,N/A
9291732,M/S J.A. ENTERPRISES Under PMA,,,,MSE
9291732,M/S THE A.A ENTERPRISES Under PMA,,,,MSE
9312748,BARMER MOTORS Under PMA,,,,MSE
9312748,N R MOTORS Under PMA,,,,MSE
9312748,Rahul Enterprises Under PMA,,,,MSE
9312652,PANNU AUTO TRADERS Under PMA,,,,MSE
9312652,PRANAV CONTRACTORS Under PMA,,,,MSE
9312652,VEENA ENTERPRISES Under PMA,,,,MSE
9312382,ARMY TRADING CO. Under PMA,,,,MII MSE
9312382,HIMACHAL MOTORS Under PMA,,,,MII
9312382,RAJINDRA & RAJINDRA MOTORS Under PMA,,,,MII MSE
9312143,M/S ONLINE COMPUTER WORKS Under PMA,,,,MSE
9312143,R S TRADERS Under PMA,,,,MSE
9312143,T R ENTERPRISES Under PMA,,,,MSE
9310954,NEELKANTH TRADERS Under PMA,,,,Offline upload
9310954,RAVI TRADERS Under PMA,,,,Offline upload
9310954,SHRI BANKEY BIHARI ASSOCIATES Under PMA,,,,Offline upload
9310580,OM SHRI JAI HANS NIRWAN ENTERPRISES Under PMA,,,,N/A
9310580,SHIV TRADERS Under PMA,,,,N/A
9310580,Shri Mahalaxmi Enterprises Under PMA,,,,N/A
9310580,STERLITE CAMOTECH Under PMA,,,,MSE
9347357,"ASHRAF ENTERPRISES (MSE,MII) Under PMA",L1,7725000.0,` 7725000.00,
9347357,"RSF INFRATECH INDUSTRIES (MSE,MII) Under PMA",L2,7740000.0,` 7740000.00,
9347357,"M/S A.K.ENTERPRISES (MSE,MII) Under PMA",L3,8037420.0,` 8037420.00,
9347357,"PLASTECO POLYTECH PRIVATE LIMITED (MSE,MII) Under PMA",L4,8115870.0,` 8115870.00,
9347357,"SANJAY AGARWAL (MSE,MII) Under PMA",L5,8460000.0,` 8460000.00,
9347357,"ARYAVART TECH PRIVATE LIMITED (MSE,MII) Under PMA",L6,8550000.0,` 8550000.00 (Bid Price),
9347357,"RM Excellant (MSE,MII) Under PMA",L7,8850000.0,` 8850000.00 (Bid Price),
9347357,"M/S ACE BUILDERS & ENGINEERS (MSE,MII) Under PMA",L8,8938500.0,` 8938500.00 (Bid Price),
9347357,"SKY GATES ENGINEERS PRIVATE LIMITED (MSE,MII) Under PMA",L9,9027000.0,` 9027000.00 (Bid Price),
9347339,"RSF INFRATECH INDUSTRIES (MSE,MII) Under PMA",L1,4296000.0,` 4296000.00,
9347339,"PLASTECO POLYTECH PRIVATE LIMITED (MSE,MII) Under PMA",L2,4302000.0,` 4302000.00,
9347339,"RM Excellant (MSE,MII) Under PMA",L3,4400000.0,` 4400000.00,
9347339,"SPIRE CONSTRUCTIONS (MSE,MII) Under PMA",L4,4790000.0,` 4790000.00,
9347339,GS Innovations (MII) Under PMA,L5,5416000.0,` 5416000.00 (Bid Price),
9346883,ANAGHA TECHSOLUTION PRIVATE LIMITED (MII) Under PMA,L1,468060.0,` 468060.00,
9346883,SHRI UATPAAD INDUSTRIES PRIVATE LIMITED (MII) Under PMA,L2,484050.0,` 484050.00,
9346883,K1 Solutions (MII) Under PMA,L3,484800.0,` 484800.00,
9349004,TECHNO HONEY SYSTEMS PRIVATE LIMITED (MII) Under PMA,L1,3492588.0,` 3492588.00,
9349004,LOGIC SYSTEMS AND SOLUTIONS (MII) Under PMA,L2,3496085.0,` 3496085.00,
9349004,SMARTTECH SECURE SOLUTION PRIVATE LIMITED (MII) Under PMA,L3,4147492.32,` 4147492.32 (Bid Price),
9348698,SHREE BALAJI ENTERPRISES Under PMA,L1,152615.75,` 152615.75,
9348698,UMA CORPORATION Under PMA,L2,176735.0,` 176735.00 (Bid Price),
9348698,PRATHAM SOLUTIONS (MSE) Under PMA,L3,181015.0,` 181015.00 (Bid Price),
9348392,"M/S STAR ENTERPRISES (MSE,MII) Under PMA",L1,608300.0,` 608300.00,
9348392,"VARDHMAN ENTERPRISE (MSE,MII) Under PMA",L2,616092.0,` 616092.00 (Bid Price),
9348392,"SANDEEP TRADERS (MSE,MII) Under PMA",L3,632120.0,` 632120.00 (Bid Price),
9343094,CHAHAL TRADING CO Under PMA,,,,N/A
9343094,Groww India Under PMA,,,,N/A
9343094,LOOM SOLAR PRIVATE LIMITED Under PMA,,,,N/A
9343094,MEGAMAX SOLAR SOLUTIONS PRIVATE LIMITED Under PMA,,,,N/A
9343094,NEXTURE ENERGIES Under PMA,,,,N/A
9343094,NORTHERN SOLAR Under PMA,,,,N/A
9343094,THE INDIAN SALES CORPORATION Under PMA,,,,N/A
9331300,FIRSTUG INFRA PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9331300,Flagsfield Under PMA,,,,Registered with designated Agency / Authority
9331300,GOYAL ENTERPRISES Under PMA,,,,Registered with designated Agency / Authority
9331300,OM ENTERPRISES Under PMA,,,,Offline upload
9331300,S.B.ENTERPRISES Under PMA,,,,KVIC
9331300,SHANTI ENTERPRISES Under PMA,,,,Offline upload
9331300,VS SOLANKI ENTERPRISES Under PMA,,,,Registered with designated Agency / Authority
9303592,GANPATI TRADERS Under PMA,,,,MSE
9303592,JAYCO SALES CORPRATION Under PMA,,,,MSE
9303592,RAMESH AUTOMOBILES Under PMA,,,,MSE
9310443,NK YADAV ENTERPRISES Under PMA,,,,MII MSE
9310443,NKR Associates Under PMA,,,,MII MSE
9310443,YADUVANSHI ENTERPRISES Under PMA,,,,MII MSE
9312155,BHAGWATI ENTERPRISES Under PMA,,,,MSE
9312155,CHOUDHARY AUTO STORES Under PMA,,,,MSE
9312155,LOKNATH AGENCIES Under PMA,,,,MSE
9312077,hanshika traders Under PMA,,,,MSE
9312077,M/S HARSH ENTERPRISES Under PMA,,,,MSE
9312077,SHREE KRISHNA TRADERS Under PMA,,,,MSE
9312035,hanshika traders Under PMA,,,,MSE
9312035,M/S HARSH ENTERPRISES Under PMA,,,,MSE
9312035,SHREE KRISHNA TRADERS Under PMA,,,,MSE
9311841,ABHISHEK INTEGRATIONS LIMITED Under PMA,,,,Registered with designated Agency / Authority
9311841,JASSAL ENGINEERING Under PMA,,,,BIS License
9311841,M/s Garg Associates Under PMA,,,,Offline upload
9311841,M/S PANKJA CONSTRUCTION Under PMA,,,,Offline upload
9311841,M/S SAI TRADERS Under PMA,,,,Offline upload
9311708,hanshika traders Under PMA,,,,MSE
9311708,M/S HARSH ENTERPRISES Under PMA,,,,MSE
9311708,SHREE KRISHNA TRADERS Under PMA,,,,MSE
9311654,M/S RAJA RAM SINGH Under PMA,,,,Offline upload
9311654,M/S TULSI ENTERPRISES Under PMA,,,,Offline upload
9311654,M/S VINAYAK CONSTRACTION & SUPPLAYARS Under PMA,,,,Offline upload
9263561,GURUJI ENTERPRISES Under PMA,,,,N/A
9263561,M/S MAA SHARDA TRADERS Under PMA,,,,N/A
9263561,M/S VISHAL GRAPHICS Under PMA,,,,N/A
9348341,RADHE ENTERPRISE (MII) Under PMA,L1,408600.0,` 408600.00,
9348341,SANJOG (MII) Under PMA,L2,409800.0,` 409800.00,
9348341,ALLIED MACHINARIES (MII) Under PMA,L3,424200.0,` 424200.00 (Bid Price),
9348341,SHIVAYE INFRATECH (MII) Under PMA,L4,465108.0,` 465108.00 (Bid Price),
9348341,M/S UDIT ENTERPRISES (MII) Under PMA,L5,465138.0,` 465138.00 (Bid Price),
9348341,jk stationery (MII) Under PMA,L6,465156.0,` 465156.00 (Bid Price),
9348341,HARYANA TRADING CO (MII) Under PMA,L7,519600.0,` 519600.00 (Bid Price),
9348368,"MAVERICK TRADERS (MSE,MII) Under PMA",L1,2993895.0,` 2993895.00,
9348368,M/s Bhart Enterprises (MII) Under PMA,L2,2997000.0,` 2997000.00 (Bid Price),
9348368,Gajanan Traders (MII) Under PMA,L3,3969000.0,` 3969000.00 (Bid Price),
9348358,KISAN TRADECOM PRIVATE LIMITED Under PMA,L1,549450.0,` 549450.00,
9348358,BCS INDIA PRIVATE LIMITED. Under PMA,L2,555000.0,` 555000.00 (Bid Price),
9348358,KISAN ENGINEERING WORKS Under PMA,L3,560000.0,` 560000.00 (Bid Price),
9348354,"ROYAL BIOTECH (MSE,MII) Under PMA",L1,308265.0,` 308265.00,
9348354,"RADHEY RADHEY ENTERPRISES (MSE,MII) Under PMA",L2,310485.0,` 310485.00 (Bid Price),
9348349,"M/S STAR ENTERPRISES (MSE,MII) Under PMA",L1,938940.0,` 938940.00,
9348349,"S S TRADERS (MSE,MII) Under PMA",L2,948000.0,` 948000.00 (Bid Price),
9348349,"ASHAPURA AUTOMOBILES (MSE,MII) Under PMA",L3,1073920.0,` 1073920.00 (Bid Price),
9348281,PGS GLOBAL FORWARDING (INDIA) PRIVATE LIMITED Under PMA,L1,424000.0,` 424000.00,
9348281,TRIGON SYNERGIES PRIVATE LIMITED Under PMA,L2,424544.0,` 424544.00 (Bid Price),
9348281,CARGOMAR PRIVATE LIMITED Under PMA,L3,540450.0,` 540450.00 (Bid Price),
9348281,ISA LOGISTICS PRIVATE LIMITED Under PMA,L4,620000.0,` 620000.00 (Bid Price),
9348281,ISSGF INDIA PRIVATE LIMITED Under PMA,L5,804607.0,` 804607.00 (Bid Price),
9348281,UNIWORLD LOGISTICS PRIVATE LIMITED Under PMA,L6,1089754.0,` 1089754.00 (Bid Price),
9348281,DEXPRO LOGISTICS PRIVATE LIMITED Under PMA,L7,1361079.45,` 1361079.45 (Bid Price),
9348266,"M/S STAR ENTERPRISES (MSE,MII) Under PMA",L1,942090.0,` 942090.00,
9348266,"VARDHMAN ENTERPRISE (MSE,MII) Under PMA",L2,961820.0,` 961820.00 (Bid Price),
9348266,"DIVYESH TRADERS (MSE,MII) Under PMA",L3,995575.0,` 995575.00 (Bid Price),
9342778,PRECISE VACCUM SYSTEMS PRIVATE LIMITED Under PMA,Disqualified,6315000.0,` 6315000.00,
9342778,AGILENT TECHNOLOGIES INDIA PVT LTD Under PMA,L1,4983987.24,` 4983987.24,
9332950,VANTAGE ELECTRICALS (MII) Under PMA,L1,658845.0,` 658845.00,
9332950,ELCOV PRIVATE LIMITED (MII) Under PMA,L2,735000.0,` 735000.00 (Bid Price),
9332950,VENUS SALES CORPORATION (MII) Under PMA,L3,786000.0,` 786000.00 (Bid Price),
9305271,Arun Enterprises Under PMA,,,,N/A
9305271,HINDUSTAN THERMOSTATICS PRIVATE LIMITED Under PMA,,,,N/A
9305271,Vardhman Trading Co. Under PMA,,,,N/A
9310405,E SERVICE AND EQUIPMENTS Under PMA,,,,N/A
9310377,E SERVICE AND EQUIPMENTS Under PMA,,,,N/A
9311507,BHAGWATI SUPPLIERS Under PMA,,,,MSE
9311507,S.S. ENTERPRISES Under PMA,,,,MSE
9311507,WEST END MOTORS Under PMA,,,,MSE
9311503,BALAJI ENTERPRISES Under PMA,,,,MSE
9311503,LAKSHYA TRADERS Under PMA,,,,MSE
9311503,S R ENTERPRISES Under PMA,,,,MSE
9311328,BALAJI ENTERPRISES Under PMA,,,,MSE
9311328,LAKSHYA TRADERS Under PMA,,,,MSE
9311328,S R ENTERPRISES Under PMA,,,,MSE
9311295,AARTI ENTERPRISES Under PMA,,,,MSE
9311295,DS ENTERPRISES Under PMA,,,,MSE
9311295,VISHWAS ENTERPRISES Under PMA,,,,N/A
9311276,BHAGWATI ENTERPRISES Under PMA,,,,MSE
9311276,CHOUDHARY AUTO STORES Under PMA,,,,MSE
9311276,LOKNATH AGENCIES Under PMA,,,,MSE
9311261,CHOUDHARY AUTOMOBILES Under PMA,,,,MSE
9311261,NAINA ENTERPRISES Under PMA,,,,MSE
9311261,SAMRIDDHI ENTERPRISES Under PMA,,,,MSE
9311164,AUTO CHOICE ENTERPRISES Under PMA,,,,MSE
9311164,NEW SHIVA ENTERPRISES Under PMA,,,,MSE
9311164,R R Enterprises Under PMA,,,,MSE
9347509,M/S P.C ENTERPRISES Under PMA,L1,1111343.8,` 1111343.80,
9347509,R.S. BAJAJ TEA COMPANY Under PMA,L2,1112580.0,` 1112580.00,
9347509,A BHARAT ASSOCIATE Under PMA,L3,1136067.8,` 1136067.80,
9347509,PANSARI INDUSTRY PRIVATE LIMITED Under PMA,L4,1162028.0,` 1162028.00 (Bid Price),
9347509,SURYA INDUSTRIES Under PMA,L5,1241639.28,` 1241639.28 (Bid Price),
9347509,uma industries Under PMA,L6,1242381.0,` 1242381.00 (Bid Price),
9347509,MMK ENTERPRISES PVT LTD Under PMA,L7,1248562.0,` 1248562.00 (Bid Price),
9347509,DEEPAK TRADING CO. Under PMA,L8,1267105.0,` 1267105.00 (Bid Price),
9347509,MANAV TEA CO. Under PMA,L9,1285029.9,` 1285029.90 (Bid Price),
9347509,SHRI PRIYAJI AGRO OILS PRIVATE LIMITED Under PMA,L10,1310372.0,` 1310372.00 (Bid Price),
9346408,SHWETANK OVERSEAS (MSE) Under PMA,L1,223964.0,` 223964.00,
9346408,LALIMA TRADING CO Under PMA,L2,225130.0,` 225130.00,
9346408,Gupta Auto Works Under PMA,L3,457420.0,` 457420.00 (Bid Price),
9346408,SUMEET AGENCIES Under PMA,L4,459020.0,` 459020.00 (Bid Price),
9297301,Gulshan Enterprises Under PMA,,,,MSE
9297301,MAJHA AUTO MOBILES Under PMA,,,,MSE
9297301,S.K.TRADERS Under PMA,,,,MSE
9311138,BARMER MOTORS Under PMA,,,,MSE
9311138,Rahul Enterprises Under PMA,,,,MSE
9311138,SP TRADING COMPANY Under PMA,,,,MSE
9291335,B.K INTERNATIONAL Under PMA,,,,MSE
9291335,BAKSA ENGINEERING WORKSHOP Under PMA,,,,MSE
9291335,HIND SPORTS PVT LTD Under PMA,,,,MSE
9291335,M/S BHARALI ENTERPRISE Under PMA,,,,MSE
9291335,NEW IDEAL SPORTS & FITNESS Under PMA,,,,MSE
9291335,RATNESWAR BHARALI Under PMA,,,,MSE
9291335,VERSA SPORTS Co. Under PMA,,,,MSE
9347729,"A1 BUSINESS SOLUTIONS (MSE,MII) Under PMA",L1,2542600.0,` 2542600.00,
9347729,"S P ENTERPRISE (MSE,MII) Under PMA",L2,2597000.0,` 2597000.00 (Bid Price),
9347729,"SHALIMAR INFRA (MSE,MII) Under PMA",L3,2603912.0,` 2603912.00 (Bid Price),
9347620,LADAKH BUS OPERATORS COOP Under PMA,L1,1066000.0,` 1066000.00,
9347620,EX SERVICEMEN MEDIUM BUS OPERATORS CO OPERATIVE LIMITED LEH Under PMA,L2,1118400.0,` 1118400.00 (Bid Price),
9347620,LADAKH TRANSPORT CO OPERATIVE SOCIETY LIMITED LEH Under PMA,L3,1128000.0,` 1128000.00 (Bid Price),
9347344,IKRAJ ENTERPRISES Under PMA,,,,N/A
9347344,JAIN TRADERS Under PMA,,,,N/A
9347344,M/s Narindera Construction Under PMA,,,,N/A
9347344,MAHADEV SOLUTION Under PMA,,,,N/A
9347344,SASAN INFRATECH Under PMA,,,,N/A
9347149,"DS BUSINESS SOLUTIONS (MSE,MII) Under PMA",L1,1930.0,` 1930.00,
9347149,"BHARAT ENTERPRISES (MSE,MII) Under PMA",L2,2000.0,` 2000.00,
9347149,"R.V. TRADERS (MSE,MII) Under PMA",L3,2081.0,` 2081.00,
9347149,"RADHEY TRADERS (MSE,MII) Under PMA",L4,2540.0,` 2540.00 (Bid Price),
9347149,"RAGHAV SALES (MSE,MII) Under PMA",L5,2920.0,` 2920.00 (Bid Price),
9341262,Shri Balaji Trading Co. (MSE) Under PMA,L1,23140.0,` 23140.00,
9341262,FRIENDS ENTERPRISES (MSE) Under PMA,L2,29380.0,` 29380.00 (Bid Price),
9341262,M/S BHARDWAJ ENTERPRISES (MSE) Under PMA,L3,30784.0,` 30784.00 (Bid Price),
9347388,M/S UNIVERSAL TRADERS Under PMA,L1,268800.0,` 268800.00,
9347388,M/S ARYA TRADERS (MSE) Under PMA,L2,269400.0,` 269400.00,
9347388,MOHAMMAD AZAMAT AZAD (MSE) Under PMA,L3,299400.0,` 299400.00 (Bid Price),
9347388,MOHAMMED SHAHID (MSE) Under PMA,L4,405000.0,` 405000.00 (Bid Price),
9331359,INDUS INDUSTRIES Under PMA,,,,N/A
9331359,JAIN INDUSTRIAL LIGHTING CORPORATION Under PMA,,,,MSE
9331359,M.R.ELECTRONICS Under PMA,,,,MSE
9331359,RANISATI UDYOG Under PMA,,,,N/A
9331359,SARVSHAKTI MAA MAHAMAYA Under PMA,,,,N/A
9323911,UNIVERSAL TRADERS Under PMA,L1,724860.0,` 724860.00,
9323911,HINDUSTAN SALES CORPORATION Under PMA,L2,820000.0,` 820000.00 (Bid Price),
9323911,P.P.ASSOCIATES Under PMA,L3,830000.0,` 830000.00 (Bid Price),
9347380,HARMINDER SINGH Under PMA,L1,422550.0,` 422550.00,
9347380,MOHAMMAD AZAMAT AZAD (MSE) Under PMA,L2,486000.0,` 486000.00 (Bid Price),
9347379,Divaz (MII) Under PMA,L1,1272000.0,` 1272000.00,
9347379,JAI DURGA ENTERPRISES (MII) Under PMA,L2,1350000.0,` 1350000.00 (Bid Price),
9347379,VIJAY ENTERPRISES (MII) Under PMA,L3,1396200.0,` 1396200.00 (Bid Price),
9343149,Gursimar Computers & Stationers Under PMA,,,,N/A
9343149,M R TECHNOLOGY Under PMA,,,,N/A
9343149,M/S AAGYA SALES Under PMA,,,,N/A
9343149,SKYTOUCH ENTERPRISES Under PMA,,,,N/A
9307597,CHAUDHARY AUTO TRADERS Under PMA,,,,MSE
9307597,HI-TECH TRADERS Under PMA,,,,MSE
9307597,QUALITY TRADERS Under PMA,,,,MSE
9277385,DURIAN INDUSTRIES LIMITED Under PMA,,,,MII
9277385,MAPLE MOULDINGS PRIVATE LIMITED Under PMA,,,,MII
9277385,PALGHAR PLYWOOD PRODUCTS PVT LTD Under PMA,,,,MII
9270896,A M PROJECT AND MANAGEMENT SERVICES (OPC) PRIVATE LIMITED Under PMA,,,,MSE
9270896,A R MANAGEMENT Under PMA,,,,Registered with designated Agency / Authority
9270896,AADHYA MANAGEMENT Under PMA,,,,Start-up
9270896,AADITYA SECURITY SERVICE Under PMA,,,,Registered with designated Agency / Authority
9270896,AARAMBH ENTERPRISES Under PMA,,,,Start-up
9270896,AAROHI ENTERPRISES Under PMA,,,,MSE
9270896,AARTI ENTERPRISE SOLUTIONS LLP Under PMA,,,,Registered with designated Agency / Authority
9270896,AARUSHI SECURITY INFRA Under PMA,,,,MSE
9270896,AASTHA ENTERPRISE Under PMA,,,,Registered with designated Agency / Authority
9270896,AASTHA SECURITY AND MANPOWER SERVICES Under PMA,,,,Start-up
9270896,ABHAY ENTERPRISE Under PMA,,,,Start-up
9270896,ABHERAJ SECURITY SERVICES Under PMA,,,,MSE
9270896,ABLESERVE MANAGEMENT PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9270896,ACTIVE SECURITY SERVICES Under PMA,,,,Registered with designated Agency / Authority
9270896,ADVT INDUSTRIES PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
9270896,AGASTYA ENTERPRISE Under PMA,,,,Registered with designated Agency / Authority
9270896,ALAKH ENTERPRISE Under PMA,,,,Registered with designated Agency / Authority
9270896,almighty manpower & security services Under PMA,,,,Registered with designated Agency / Authority
9270896,AMAN ENTERPRISE Under PMA,,,,Registered with designated Agency / Authority
9270896,AMASS ADVANCED STAFFING SERVICES PRIVATE LIMITED Under PMA,,,,Registered with designated Agency / Authority
